,XIST_pos_female_normals,XIST_neg_male_normals,SARC,PAAD,THCA,LUAD,LIHC,LAML,LUSC,LGG,STAD,READ,DLBC,GBM,COAD,TGCT-NS,PRAD,ESCA,KIRC,PCPG,UVM,BRCA,ACC,BLCA,TGCT-S,KICH,HNSC,TGCT-U,KIRP,SKCM,THYM,MESO,CHOL
ENSG00000186462.8,4.42372685,5.025085522,0.772301459,1.910215752,5.794755437,1.093151423,1.098645883,0.473827559,2.694722177,18.71812856,0.544089859,0.182251462,0.620094875,6.189925772,0.191918766,3.953360476,9.449209208,1.542397844,1.954688606,15.72847545,1.384868379,0.955182613,4.496152265,0.9781749,3.272805693,5.09612176,1.662534644,0.821026105,1.967792706,0.495357744,2.831313836,1.988038247,1.511609241
ENSG00000183479.12,0.449971442,0.605165737,0.679562873,0.400998964,0.341228034,0.454362383,0.31933601,0.683390636,0.720555312,0.203983924,0.763556088,0.350271155,0.475544886,0.319884976,0.353435996,0.59688165,0.237788233,2.458518281,2.103458775,0.163895268,0.56782303,0.431835744,0.425193762,0.665237033,0.27575396,0.319650549,3.568554535,0.921017197,1.135957837,0.872780271,1.346809764,1.343394037,0.884123788
ENSG00000101868.10,4.147184356,3.333323733,8.633472981,3.326832901,2.89456139,4.191817802,1.903009566,11.54219587,6.3035874,6.761805203,6.593124245,9.551037788,5.93875327,7.093648082,7.745914735,8.855099511,3.697174985,8.817981876,3.794193532,3.791784699,5.358006545,7.861025092,3.120662668,5.331876783,7.459897793,2.931257619,6.011735817,14.08121581,2.300479983,7.420543822,7.374058425,4.193109847,4.145414317
ENSG00000047648.21,7.057233379,10.90639647,7.654922756,3.394688064,10.47181555,1.258634609,0.4796163,1.68099695,0.824944382,4.36380061,3.47798004,3.027978887,0.337357929,3.880194823,2.410111293,1.84452604,31.80880854,2.066229418,5.872849445,1.687044765,0.340089547,1.152675775,0.848092524,2.164210338,0.282394212,21.73830188,0.488784129,10.34097277,3.790765044,2.29340317,1.1474468,1.572409201,1.225982863
ENSG00000101811.13,8.349073719,8.819537879,9.316922131,9.21807285,7.625167254,14.71180158,5.842942484,8.85371702,19.11944198,13.08387828,13.8412215,22.28447703,19.45931193,12.54087699,23.47363132,27.06164911,9.418567248,17.51228751,6.582183745,5.794145613,6.010115391,16.60331709,6.075177423,16.24325271,27.09718109,6.679133481,18.53195912,25.51015925,5.899913822,14.19043677,11.94136414,8.711591923,8.097225708
ENSG00000184831.13,19.53435707,24.08314747,27.7574795,15.72940421,22.45589121,19.97078152,17.79437082,8.344596543,27.87727849,39.81734826,20.89559817,28.91185858,19.02642461,50.62721857,24.69136744,33.95980523,26.97808912,22.93118018,17.21070897,42.50130278,26.01956985,34.62425352,40.15203075,21.49841586,58.65267113,67.91139335,19.69658379,25.04064815,29.24807117,34.91406501,28.37938621,16.49736221,25.89225292
ENSG00000102226.9,42.72039688,40.02086133,74.55683473,40.41820133,67.63155924,33.17064461,15.1579489,51.55852502,42.7568146,166.170885,29.13660974,25.84731442,37.40876096,107.4852754,24.31436402,95.90049837,30.34482476,37.17345236,35.31467026,160.2990459,65.94088804,34.38836521,43.88912677,35.41615286,34.24484772,48.77164646,30.25502609,98.14208389,38.5883378,68.65163375,77.55724547,51.72121016,27.58917489
ENSG00000147119.3,3.063359503,2.504040585,9.559555596,2.755302853,4.6872031,1.84639773,2.791082697,1.635243545,8.508695789,8.173676132,2.261378832,1.214436679,3.600070809,10.45848922,1.104652573,6.16279238,1.615388842,4.986204569,3.326724866,27.2494204,0.439183774,1.060168525,1.860357355,1.748799479,0.952639511,1.491006954,5.152986866,5.780923576,1.698829845,1.43087319,1.527772495,2.645656123,4.324760369
ENSG00000072506.12,90.92299108,98.81151261,132.2101716,82.71225614,88.68349105,89.70934931,157.6333051,36.3123962,119.5143763,108.2207632,64.40187487,144.7223113,189.3041542,151.6060965,148.6704898,136.0218372,105.7613307,73.33184076,69.07587932,128.8384203,86.73135034,151.057891,135.1554191,125.825364,154.5140441,52.09166478,122.3091913,145.3915889,109.7413921,124.8211819,130.2452851,98.03954056,99.70257764
ENSG00000004961.14,17.5311224,18.15928243,21.78653685,18.19193117,12.18821034,19.04845811,14.44245657,11.36359092,24.21789332,11.38508561,22.8536449,36.65781986,21.89284867,19.28556972,33.01037714,32.427744,13.238404,22.51688283,16.81476673,16.68109743,11.89781316,17.51499447,20.56688841,20.22218575,15.54809759,44.7524158,26.67257357,28.23083704,15.24466466,21.07808152,14.35579179,16.25708049,16.79523191
