,KICH,BLCA,READ,SKCM,PAAD,LGG,LUSC,LUAD,ESCA,OV,THCA,KIRC,SARC,UCEC,STAD,HNSC,UCS,CESC,CHOL,DLBC,LAML,KIRP,COAD,PCPG,THYM,GBM,UVM,MESO,ACC,LIHC,BRCA
ENSG00000205667.2,0.010374971243112959,0.05137764765234485,0.08600042955391929,0.04044091928537398,0.10562538990493309,0.0065665861836907355,0.19152393957671315,0.24744690807497663,0.053692222197466014,0.20112573448306592,0.04205973512707973,0.003005471929069569,0.00700716135353352,0.26197833610155813,0.08711109873889232,0.04903854973102262,0.11007342122853449,0.18255054124883513,0.04299974643526594,0.0029999314876956594,0.0044177938758214585,0.026278020904699818,0.11525237656682288,0.004399908151938673,0.018894882751977534,0.0038703571081643924,0.07819958037828838,0.004124929887098356,0.0009999891070171009,0.0029166172055674292,0.3660158219499535
ENSG00000158423.16,1.006619363297866,1.2532937722682367,0.9045748665622585,1.003238342710803,2.1463754544372184,4.088721297819999,2.0279043964092316,3.24227353252282,0.9663861871035082,4.210530323207155,3.714657059189705,3.240588454793317,2.296896955020737,8.496001796911218,0.9646109113809614,0.8115372168915973,2.74839747762129,2.7373113948720635,2.313021893518182,0.9417989132558694,1.0159391124662378,5.129544557839572,0.931669711850483,2.8099981455403533,3.3458993018644376,6.904681731219416,0.927798818649886,2.5272541851551567,3.1812246358970637,0.6393340130192239,3.9664405718811113
ENSG00000183862.5,0.015374932542991604,0.009962250247920301,0.0012380760116689395,0.0012484290357614586,0.0011249847319593155,0.0014555302415598659,0.037774591000641275,0.005209210092196079,0.007922897427548927,0.014725484499989953,0.0015706288768133178,0.0018790848816148046,0.009633081637992123,0.043499685644728954,0.0017638549961529351,0.0014615131725447636,0.09748187863652101,0.04195719978825436,0.0009999891070171,0.005400038804140045,0.0009999891070171004,0.0016944203914796008,0.001236203417943452,0.0011999821069246428,0.035034610161290086,0.0023888293841528214,0.0009999891070171,0.0009999891070171,0.003790601619364485,0.0013333174610664555,0.17293848399932635
ENSG00000183943.5,2.5654086824054247,8.010770688747156,10.334823082577495,6.930881556957758,7.696385295926066,15.585378503568908,34.16090367171641,8.269367757280762,24.00792736203937,22.128373999377025,17.133087670547212,10.507229536628323,5.386689431071321,16.62829059072037,13.833904161792141,23.34634058925449,11.214496848845453,20.839512595593526,12.24195498307057,9.002207868154137,35.29636331682618,17.7624826135408,13.453803126500649,1.9460427381538332,16.830524900518796,7.9852544472086455,5.962592761069363,7.446597070100696,1.4037911506993839,2.6944981776543617,9.819925125213032
ENSG00000124486.12,19.269150260782204,18.470924855274507,22.46595863827143,21.886949883220666,19.51323263059061,22.88157857476031,22.157747820729032,20.414567825978835,56.526716078944176,23.681781531710673,18.69107542849273,24.671375475488237,28.168736765188562,16.352614879582703,30.153098356586796,23.179813543045846,19.58989907862913,20.41687757261138,24.148851442974973,15.227917362185133,36.88691610593574,21.999920759590555,22.32987872418224,15.38245386754432,15.451309042125667,21.06664380701386,10.55821143748564,20.927733315267893,18.828940325653218,14.984810224997831,28.260214137506296
ENSG00000189221.9,36.72484906426288,55.150299902493785,41.24865317859495,2.5480834789263396,23.113372296476904,20.677405595612388,36.99836557479866,45.79346053133972,25.188000371116352,2.8404124542912244,127.70646752123028,33.22779916274773,14.486868591921287,8.412223777740854,20.200917744212077,25.793107773063603,5.064184084768474,25.87110414310176,61.89495823434862,0.6634030633585837,1.165046825242978,36.84790965285614,44.03250527339635,9.183341127945697,29.195118437800367,13.957705847599705,0.5154054176757791,3.632895596126975,41.963150893502515,47.13027372576707,9.764015436173263
ENSG00000102387.15,1.8822507845659144,0.22405029155334782,0.07623718539957071,1.2892631252023758,0.09512501882201484,0.15466665940045532,0.39205109630606294,0.2765905481103053,0.2633054928354107,0.20139232271950708,0.03238579109870813,0.0826478620624928,0.9183764786096692,0.5538340674392581,0.2471791975018849,0.20076949998133747,1.007491790370662,3.4167518307097065,0.10949989439028902,0.03820048242982343,0.07720247259363194,0.06745857502166484,0.10118347103019873,0.104099998151966,0.6432802979947742,0.267298753028673,0.06700032238452847,0.18724836587701352,0.4837874274930833,0.08983317496775159,0.18569811179214413
ENSG00000046647.13,12.087914861339899,15.726739439234027,22.276636322871198,22.29291696695572,19.131019809626817,22.167954673182194,16.230695800647187,16.799120432102388,16.442150881435158,13.550009935739686,22.27063487863506,23.041644976409682,24.036416929143577,18.770441269046845,13.654056945154304,13.985793550808076,14.859656881113027,20.481011005872226,31.211335284984607,22.466077566355395,14.402714263283793,23.801995136721455,20.221397343675985,17.10680276266315,20.754312606429455,25.580103047639344,26.162829781740232,23.420492506533904,17.14132391019797,9.991012536374843,24.20022107380479
ENSG00000169297.7,0.06599873195522249,0.9084555244305249,0.023857236773830268,1.237079979763703,1.7496386127662986,1.8626251380143823,6.419199854074383,2.55200073005839,0.6029288511857659,0.4053145325457123,0.17465748582240131,0.24707294329337995,0.4167549672186172,0.48813678042031977,0.04836052257923781,0.38200373000318094,0.6554486428684252,0.4640689230949188,0.049500620478741,0.018600200221119623,0.43820656683696374,3.936338992350847,0.02643328749255973,1.1709567274959378,0.09468362199807132,0.9889494216462822,0.03340058629019399,0.1416237322431023,50.44328451919255,0.3634207362905066,0.3902044211857292
ENSG00000046651.14,16.744686947252593,27.13691530373866,29.66937301080082,13.631080332491313,24.127304591964332,18.124143035071487,23.650289183527068,22.18007680566106,20.626647051025408,14.632710641342737,27.668625125058448,19.800924457010296,22.82094812719928,36.633699912498486,15.434654228192658,14.024793716942368,26.051737802771463,32.14069591373229,31.35562041110102,24.90959932955524,32.00261823358168,22.56977244602287,23.106119031332266,15.102292613203595,28.077837394361325,16.428002350629736,6.558622583958988,18.2946452142899,13.949571856091795,10.656583613287179,26.394466394611033
ENSG00000130741.10,39.443874934279094,84.44180719412877,131.15559437470728,99.07622535155036,75.65367919983187,61.64801808562415,112.86768367975398,93.64804450246761,124.77931301722968,82.3411283837804,72.20647980286476,99.5918731532758,108.79256511855051,91.44175560345907,100.66023924084426,88.90402479451149,97.67163420675072,101.57162931685096,136.0264352963848,122.49319173892428,166.99807343219763,73.97042639980798,128.32688997222732,45.76021949553057,93.98990460236733,68.13692191814877,91.53475915161236,89.44566893382164,58.033275857305696,52.98268004402247,128.26606478394402
