,XIST_pos_female_normals,XIST_neg_male_normals,SARC,PAAD,THCA,LUAD,LIHC,LAML,LUSC,LGG,STAD,READ,DLBC,GBM,COAD,TGCT-NS,PRAD,ESCA,KIRC,PCPG,UVM,BRCA,ACC,BLCA,TGCT-S,KICH,HNSC,TGCT-U,KIRP,SKCM,THYM,MESO,CHOL
ENSG00000171004.17,2.849664615,4.51326717,3.390416963,0.636583533,3.787171905,12.51580264,0.383923289,0.043064967,8.030970913,4.409283034,0.988212903,4.596724812,0.055090655,3.184275552,5.324009113,4.87160248,1.260480527,5.20064921,0.159955228,18.40410058,0.314180463,0.912653604,0.394557148,4.493150819,0.198213161,0.87559561,5.410970356,7.411163227,0.405527136,1.705117219,4.521485012,0.77395407,4.379795896
ENSG00000180182.10,12.77056334,12.08302939,16.36293107,12.89308907,13.26210327,15.95921847,6.503480811,35.86016921,17.25137965,15.29264802,24.94202129,23.09878087,12.82458637,14.99585928,21.79238594,17.13205605,13.36962253,30.22146322,13.46646438,8.375106008,6.019169262,18.60932684,7.319341925,14.74547798,9.456281788,11.92289308,15.89197502,23.83153543,9.470420262,16.31074293,11.98113031,13.95660623,11.9585017
ENSG00000173674.10,49.110604,34.08239846,50.46421442,28.69764037,27.83221204,37.48793103,21.65557784,39.76545601,52.18018085,43.38486611,46.73607515,80.17072415,31.5205352,44.59547569,66.7603655,65.68836331,36.37849519,55.20080963,33.97296483,28.24773613,14.24735779,35.64804158,25.51623461,34.5350406,65.80885719,32.84250778,45.61695203,71.99875227,19.8181716,34.37685725,26.80128767,31.89675409,29.32404733
ENSG00000186310.9,2.927310997,2.283443112,6.119429162,3.380320733,4.08469368,0.87574017,0.31996616,0.369262104,0.764168435,55.91418847,0.761155543,0.616940288,0.498273379,18.16951259,0.546030787,10.76858049,1.569485253,0.511236069,1.251404684,34.90336838,1.101898927,1.474356007,8.535162358,0.704314179,6.175924107,0.329105683,0.5279146,6.361204645,1.794445072,1.81354325,1.849400022,3.612426719,0.690368646
ENSG00000182287.13,19.65789935,17.3343697,30.54981776,12.09249667,14.17246712,13.58604636,5.192481942,48.07308311,13.65241288,42.97672683,16.31963502,13.43287011,22.25238667,78.05651169,10.30175102,27.04919551,10.1230116,13.01957214,23.40064632,35.44875621,98.67413204,19.02839542,9.325851618,7.990906987,12.53631715,19.09721934,10.54182224,48.80983603,10.20265165,154.4923899,10.53971654,12.38595193,7.638456522
ENSG00000147246.9,0.010722171,0.011919387,0.027391396,0.003894659,0.002060582,0.130317414,0.042013017,0.01578288,0.617972368,1.526467425,0.156037558,0.072458129,0.008272552,0.110222556,0.035732606,4.219737387,0.028189383,0.429911042,0.009388076,0.006855242,0.006909136,0.006833476,0.021322858,0.510751654,0.174525141,0.004243247,0.253269269,1.561031879,0.016707573,0.23013841,0.29793635,0.003112612,0.037874095
ENSG00000126952.16,0.018888804,0.013413732,0.015565147,0.011315634,0.018992335,0.007747419,0.019248848,0.016108734,0.005722155,0.074750155,0.007488472,0.001624972,0.007363629,0.060781719,0.005807626,0.010411654,0.010750274,0.019367309,0.075418034,0.05738193,0.002818112,0.02433365,0.092935035,0.006819207,0.035426646,0.031270217,0.00377043,0.071001829,0.02925473,0.006915716,0.011806411,0.012549216,0.022874947
ENSG00000102362.15,13.41457799,10.29253157,18.40646704,15.2253358,6.418996306,7.078424599,8.572384893,4.864686637,4.844494207,44.565433,6.137900173,7.776717479,2.118746795,22.06092723,8.440631605,4.357448636,10.9040658,6.366081853,5.473784679,9.230300975,0.386455866,28.66019372,1.559710502,10.91380552,14.53152717,1.337483917,4.055751354,7.201013642,3.84916377,3.262979932,0.909226812,4.993235376,5.524158167
ENSG00000269335.5,13.7409101,14.05175345,27.43597519,18.74887867,14.30308845,20.07785096,36.88826168,16.53576198,24.39712763,19.17293908,13.73537632,16.29706133,29.32958827,18.15160091,17.29096278,22.32686766,13.51439439,18.6341072,12.64628927,15.23403078,12.67280682,21.15520979,23.0074471,22.01075787,18.55170528,13.98534888,25.37936011,30.81156377,15.69084251,21.19261497,26.47519531,22.34183455,22.57075705
ENSG00000046653.14,11.86365154,7.844648435,19.93927391,2.094572699,1.733171126,2.995754437,0.226506508,4.313367631,3.969242215,628.8017727,2.097711538,1.04058274,0.611001288,386.8714371,1.090499407,36.59559992,5.273914191,3.577856861,1.428140178,8.268590223,54.04533628,2.529345075,0.405840289,1.532417736,1.858707467,0.430733264,4.172077233,9.601101962,2.860662742,84.11515746,0.748421786,2.128319779,0.829119158
ENSG00000102243.12,6.379071623,4.463979133,0.03265203,10.58212491,2.623359125,3.846149819,0.105925079,0.024804149,7.141435726,0.026809841,6.305823368,0.58506052,0.01236382,0.022067835,0.710549392,4.065718214,1.488420013,4.000492873,0.175083244,0.09001288,0.001227254,0.210167847,0.020354901,97.48749377,0.061162405,0.036134732,3.566602505,0.891001645,0.992663499,0.049333424,1.173254446,0.058888035,11.63479547
ENSG00000196459.13,7.711021438,5.547777355,10.07944036,6.786062068,6.89231061,6.752197259,4.103775061,16.89020095,6.879361915,10.43371015,6.105153058,7.783047057,7.139161929,9.420441548,7.056616471,9.265682886,7.770868343,6.856083477,7.52293632,9.872860976,2.802360114,9.137656368,5.262935767,7.273326341,5.75937106,5.863725442,4.70605771,9.561255018,6.092757138,5.459064404,9.539743706,6.172106214,9.527899585
ENSG00000102225.15,48.42593511,48.04588713,91.73233175,50.53623092,70.33382811,67.05214626,26.36121717,54.561178,87.36608783,66.31825771,80.3100658,62.07123566,30.52714768,82.79835861,60.38864744,105.9680597,49.92157278,96.20760914,46.51255852,47.32605675,55.99275403,80.25734894,58.07826832,76.43708767,45.71787773,108.7877048,67.32439852,91.63329548,60.02970774,83.32070388,47.2486758,65.43117504,57.19648067
ENSG00000062096.14,0.769196202,1.071691933,0.223522126,0.028789448,0.242742239,0.018371331,1.012198309,0.045347762,0.096861368,2.255919208,0.088099374,0.009645655,0.006454405,3.813525176,0.006427229,0.088646744,0.040230769,0.31184968,1.447370786,5.325469513,0.010545395,0.012666662,0.064870897,0.130221035,0.143213524,0.008027001,0.173572748,0.121001765,0.426945011,0.075268203,0.05761272,0.091281464,0.162249794
ENSG00000069509.5,15.35696935,13.56344701,18.55628131,14.89601647,16.10580124,16.76208997,6.995105982,8.902867152,19.34519182,22.23722578,12.98249184,17.27872723,14.60697905,26.97104688,15.59132589,26.71452381,20.10346225,13.32838617,16.83685645,32.63788771,11.3212581,28.54914159,20.16972134,19.96152608,21.41718211,20.12626671,13.63530449,19.63152034,13.47022761,16.87569918,20.88084727,16.15488351,13.74720305
ENSG00000213401.8,0.079582787,0.019275662,1.803489311,0.020263171,0.024712179,5.468388201,3.575770754,0.000999989,6.673560584,0.208350769,4.488740292,4.401672191,0.020545494,0.645346817,0.679127265,1.439214108,0.227389093,4.481387641,0.182795876,0.052775812,0.001681789,2.735184508,1.075189755,5.763801865,1.292328788,0.029648917,3.896402628,0.100998096,0.037320446,17.64803777,0.011322569,0.145087001,0.003499952
