sample,NE_median_gene_level_ratio,E_median_gene_level_ratio,ratio_ne_e,XIST_TPM,Classification,Secondary_Class
TCGA-E9-A1N6-11,0.8541671269157584,1.0744137982649076,0.7950075923216642,97.86356951,BRCA,
TCGA-BQ-5879-11,0.42056393662134955,0.9139263021180076,0.46017270281717493,43.40231228,KIRP,
TCGA-BD-A3EP-11,0.37267683447806244,0.37583892026949484,0.9915865930298942,14.82129908,LIHC,
TCGA-EM-A3ST-11,1.2844022071242764,0.8090504588502243,1.587542770755726,316.7498223,THCA,
TCGA-BH-A0BW-11,1.023277223667024,1.245739200539399,0.8214217094749446,220.8005568,BRCA,
TCGA-FY-A3TY-11,0.9694129345372711,1.2509899813616878,0.7749166252171552,264.0010761,THCA,
TCGA-CJ-5681-11,0.5163006205173474,0.7652625355259214,0.6746712357511705,19.60160658,KIRC,
TCGA-MY-A5BF-11,1.5852353556241325,0.6207146351602553,2.55388751260047,76.86207397,CESC,
TCGA-BH-A0B3-11,0.8594077921666469,1.3362550439381122,0.6431465281012999,264.6239813,BRCA,
TCGA-CZ-4863-11,0.7144548573836496,1.291839355600531,0.5530524010483675,17.82092108,KIRC,
TCGA-BH-A1EO-11,1.0833482253923117,0.8170202131934826,1.3259748142066574,25.27080996,BRCA,
TCGA-CV-7416-11,0.8779886783024651,0.5149835178215497,1.7048869486473597,23.05168012,HNSC,
TCGA-FV-A23B-11,0.49202279099183555,0.3780584956789642,1.3014461958015258,40.56040071,LIHC,
TCGA-A6-2684-11,1.115023596596537,0.6549041459682929,1.7025752599992252,42.68034699,COAD,
TCGA-AA-3520-11,0.9657335138166177,0.7845324968784119,1.2309668721935538,16.68060835,COAD,
TCGA-EL-A3GZ-11,1.0982254438734707,1.4109262705291414,0.7783719580624165,65.14127263,THCA,
TCGA-44-5645-11,0.926019682324923,0.987680592588338,0.9375699889963162,66.00026903,LUAD,
TCGA-CV-7178-11,1.4382098956703306,0.5180291917246906,2.776310521965092,17.6904642,HNSC,
TCGA-CZ-5465-11,0.6414857247005318,1.0970609468484431,0.5847311642469321,17.22103563,KIRC,
TCGA-DD-A118-11,0.3750208068337568,0.28321088157772695,1.3241751331889864,19.50132169,LIHC,
TCGA-GI-A2C8-11,0.34129312000608286,0.3854866049423544,0.8853566262234189,14.98139435,BRCA,
TCGA-DD-A1EJ-11,0.40908548138199446,0.3368680875154329,1.214378851969031,35.12192464,LIHC,
TCGA-50-6595-11,0.7665303196452875,1.0169272452819553,0.7537710521589553,52.29133509,LUAD,
TCGA-BH-A18M-11,0.9318529669811052,1.279423904763085,0.72833793671665,146.2101847,BRCA,
TCGA-BH-A1FD-11,0.9956030439167508,1.1089374722753143,0.8977990813801032,93.61060016,BRCA,
TCGA-BG-A3EW-11,1.4012110217793707,0.704049972416097,1.9902152924895622,91.17080444,UCEC,
TCGA-BC-A110-11,0.39060281223372156,0.2622468884245034,1.4894468894572594,39.44033772,LIHC,
TCGA-AF-5654-11,0.7865302954835027,0.8791623981694586,0.8946359593189732,49.54954828,READ,
TCGA-DD-A39Z-11,0.27387643610804324,0.2188597213397647,1.251378894350637,23.30067752,LIHC,
TCGA-BH-A0DZ-11,1.0859745406125756,0.9042569354145161,1.200957933615139,61.42269889,BRCA,
TCGA-85-7710-11,1.1520813142875483,1.0362250312195878,1.111806103478897,133.9545709,LUSC,
TCGA-AA-3514-11,0.83103102380866,0.7552897258109017,1.1002811178404952,18.88148068,COAD,
TCGA-BT-A2LB-11,0.8786722575312562,0.6763550251540281,1.2991287487383625,33.5513753,BLCA,
TCGA-AC-A23H-11,0.720586009348703,0.928572447349081,0.7760148509745852,98.2577978,BRCA,
TCGA-A6-2678-11,1.0197691124433745,0.8856878516099849,1.1513865868089526,27.36006969,COAD,
TCGA-BH-A1FJ-11,1.041124461476724,1.6364600377935272,0.6362052463441109,183.1015254,BRCA,
TCGA-AF-2689-11,1.0872496445290911,0.8252491133711038,1.317480536377346,16.64134343,READ,
TCGA-DD-A39W-11,0.3957809947173619,0.2923959824309666,1.353578771592062,10.73090614,LIHC,
TCGA-CV-7177-11,0.745553215651343,0.7886067810741927,0.9454055348545131,25.51015925,HNSC,
TCGA-A6-2685-11,0.8063478498550966,0.914002638830852,0.8822161070415921,31.67120821,COAD,
TCGA-38-4625-11,1.0409424297171774,0.6343738923822216,1.6408973354943663,9.461048002,LUAD,
TCGA-55-6981-11,0.8021337734891679,1.1205214260686236,0.7158575952478424,120.017419,LUAD,
TCGA-43-7658-11,0.8820895610931535,0.8948778919970382,0.9857094124033551,60.24209344,LUSC,
TCGA-CZ-5982-11,0.31399142153119747,0.6540179182594982,0.48009605358643004,11.01120155,KIRC,
TCGA-CG-5728-11,0.33515102173116396,0.3387998433689963,0.9892301554760214,16.18067626,STAD,
TCGA-BH-A0DQ-11,0.900714971089051,1.3731652976263058,0.6559406741825282,168.2893418,BRCA,
TCGA-50-5935-11,0.8378704948598651,1.0038738736986967,0.8346372157020037,25.63068267,LUAD,
TCGA-EL-A3T0-11,1.2044001251269802,1.0850219188739638,1.1100237738762984,155.6757047,THCA,
TCGA-K4-A3WV-11,0.96382461152696,0.880672804698995,1.094418501836656,114.5711503,BLCA,
TCGA-B8-4620-11,0.7575821487186676,0.9081759115808963,0.8341799634389284,19.26085712,KIRC,
TCGA-BH-A0B8-11,0.8128624992007674,0.9017468252898267,0.9014309520186096,45.61068714,BRCA,
TCGA-BH-A0DH-11,0.9616706294119881,0.7625620696785438,1.2611047253076435,63.0489308,BRCA,
