sample,NE_median_gene_level_ratio,E_median_gene_level_ratio,ratio_ne_e,XIST_TPM,Classification,Secondary_Class
TCGA-P8-A5KC-11,0.912014076313772,0.6532880346766106,1.3960367064815988,0.100998096,PCPG,
TCGA-EJ-7328-11,1.2031292832439042,1.263382173946224,0.9523082627372226,0.181004817,PRAD,
TCGA-CV-7261-11,0.9054004926391901,0.820204234553827,1.103872004674187,0.000999989,HNSC,
TCGA-CU-A0YN-11,0.8905499861776002,0.9421707434666946,0.9452108254824841,0.081001925,BLCA,
TCGA-44-2668-11,0.992974102420404,0.9394339931027739,1.0569918799093028,0.000999989,LUAD,
TCGA-51-4080-11,0.7954220956627897,0.7722231451352729,1.0300417705344131,0.010999639,LUSC,
TCGA-55-6980-11,0.8528664047717031,0.9636581774920641,0.8850300082455603,0.100998096,LUAD,
TCGA-CV-6939-11,0.7195067103906924,0.44129696687880526,1.630436564020828,0.000999989,HNSC,
TCGA-IC-A6RE-11,0.8056045572524889,0.6999827172175224,1.1508920683853743,0.000999989,ESCA,
TCGA-B2-5641-11,0.5900837673547463,1.4122006051267073,0.41784698661972464,0.000999989,KIRC,
TCGA-B0-4700-11,0.34266997127943377,0.6162536909831143,0.5560534180862587,0.030999742,KIRC,
TCGA-BT-A2LA-11,0.8376271134571699,0.8149381422307654,1.0278413416315217,0.190994103,BLCA,
TCGA-HC-7742-11,1.3218959766145422,1.1679438444142527,1.131814669803324,0.000999989,PRAD,
TCGA-CV-6935-11,0.9346045699409011,0.6538826357752949,1.4293154746841688,0.000999989,HNSC,
TCGA-CV-6959-11,0.8723286932489114,0.7566010264132993,1.152957322017159,0.000999989,HNSC,
TCGA-B0-5711-11,0.7323735664628606,1.4036245248831283,0.5217731333982221,0.000999989,KIRC,
TCGA-HU-A4GN-11,0.7886142456292474,0.719678684690753,1.0957865814354584,0.11099757,STAD,
TCGA-CV-7097-11,1.2838956909833787,0.7266949251882082,1.7667602269974019,0.071001829,HNSC,
TCGA-L5-A4OO-11,0.3353156390545765,0.6180408194161218,0.5425461045944463,0.141003219,ESCA,
TCGA-49-6742-11,1.0244006313929745,0.920084674479594,1.113376474803672,0.000999989,LUAD,
TCGA-G9-6342-11,0.9939937268078167,0.8590172262648862,1.157128979973807,0.000999989,PRAD,
TCGA-BR-6453-11,0.4918163755188065,0.576247981323744,0.8534804310967249,0.121001765,STAD,
TCGA-CJ-5689-11,0.844981509542205,1.2691594821583005,0.6657804014553401,0.000999989,KIRC,
TCGA-HC-7747-11,0.8262604376518434,0.9403971180247184,0.8786292746062256,0.071001829,PRAD,
TCGA-22-5471-11,0.9469706891152635,0.9707726741750573,0.975481401884308,0.000999989,LUSC,
TCGA-DD-A3A1-11,0.39852109468506847,0.18106066207657992,2.2010363273526155,0.061001985,LIHC,
TCGA-HC-7752-11,1.3691799416222556,0.75702814123675,1.808624893898183,0.000999989,PRAD,
TCGA-HC-7745-11,0.9004190571694045,0.9948175555311749,0.9051097381254324,0.100998096,PRAD,
TCGA-BQ-5894-11,0.5908697566092889,0.8156132176269536,0.724448481019519,0.000999989,KIRP,
TCGA-44-6148-11,0.9145158295746438,1.052603207910674,0.8688134547773975,0.041000917,LUAD,
TCGA-DZ-6134-11,0.675846957378069,0.7953510632214494,0.8497467201975601,0.000999989,KIRP,
TCGA-44-2662-11,1.0132428867240835,0.9345861010283127,1.0841621607781515,0.000999989,LUAD,
TCGA-22-4609-11,0.9045123223716828,1.1602964058418965,0.7795528089353858,0.000999989,LUSC,
TCGA-50-5936-11,0.8960679526523393,1.1473451752598784,0.7809924789629034,0.000999989,LUAD,
TCGA-DD-A1EH-11,0.33658154889814446,0.2951377645840173,1.1404218276591618,0.000999989,LIHC,
TCGA-33-6737-11,1.0328852948263627,1.0400144816863133,0.9931451080869652,0.090999347,LUSC,
TCGA-AA-3525-11,1.0818706334199024,0.928747912303548,1.1648700568667425,0.311002913,COAD,
TCGA-DD-A3A8-11,0.3543364232253451,0.20566826724721873,1.722854127999354,0.100998096,LIHC,
TCGA-HC-7740-11,0.9834398029564237,1.049165318062602,0.937354472193622,10.31091172,PRAD,
TCGA-90-7767-11,1.0752472910121131,1.1169146915224684,0.962694196050409,0.130996484,LUSC,
TCGA-22-4593-11,1.1712034243078786,0.8806799343455731,1.3298854426360824,0.000999989,LUSC,
TCGA-YB-A89D-11,1.3048898204560497,0.9190171587462157,1.4198753614527362,0.050998549,PAAD,
TCGA-CW-5585-11,0.6923107603808288,0.9320570123013572,0.7427772671023987,0.000999989,KIRC,
TCGA-39-5040-11,1.2778159449880695,0.8673324912369319,1.4732711594439791,0.000999989,LUSC,
TCGA-BC-A10W-11,0.37737440875836775,0.32538045236110863,1.1597943454192388,0.561010625,LIHC,
TCGA-BL-A13J-11,0.9267754137397535,1.1177549013542152,0.8291401027335414,0.081001925,BLCA,
TCGA-51-4081-11,0.7298988720026879,0.7298954317835114,1.000004713304162,0.081001925,LUSC,
TCGA-SQ-A6I4-11,1.0390118167828992,0.9758263106661241,1.0647507711425028,0.000999989,PCPG,
TCGA-DD-A11A-11,0.32933865301952187,0.32585535687040357,1.0106897004320345,0.000999989,LIHC,
TCGA-CH-5767-11,1.098860807498851,1.00562310380313,1.0927163500352257,0.020999518,PRAD,
TCGA-HU-8238-11,0.7314403204950403,0.575165096263995,1.271704985657399,0.061001985,STAD,
TCGA-DD-A1EG-11,0.3557273363700215,0.22609545121669797,1.5733502574055755,0.061001985,LIHC,
TCGA-EJ-7785-11,1.469747675871411,1.2565273056030564,1.1696902003781142,0.050998549,PRAD,
