sample,chrX_non_escaping_promoter_CpG_islands_median_beta,autosome_median_beta,XIST_TPM,Classification,Secondary_Class
TCGA-WE-A8ZN-06,0.040496424,0.061649079,0.000999989,SKCM,
TCGA-HU-A4GD-01,0.035940421,0.073218273,0.451000207,STAD,
TCGA-FG-8182-01,0.037253259,0.072920513,0.171003766,LGG,
TCGA-FG-6689-01,0.036894529,0.071570231,0.121001765,LGG,
TCGA-KK-A7B0-01,0.041963172,0.073932502,0.061001985,PRAD,
TCGA-OR-A5JJ-01,0.034275004,0.062870073,0.010999639,ACC,
TCGA-S5-AA26-01,0.037518556,0.053192514,0.000999989,BLCA,
TCGA-SY-A9G0-01,0.046942081,0.077875828,0.000999989,BLCA,
TCGA-G9-6366-01,0.035010742,0.062710528,0.000999989,PRAD,
TCGA-B9-A8YI-01,0.03709036,0.067612509,0.061001985,KIRP,
TCGA-E1-A7YK-01,0.035550104,0.065570952,0.000999989,LGG,
TCGA-DK-A1A5-01,0.047583915,0.084640988,0.050998549,BLCA,
TCGA-OR-A5LB-01,0.041509503,0.060267859,0.421002294,ACC,
TCGA-EJ-A65G-01,0.037722748,0.061277931,0.010999639,PRAD,
TCGA-YL-A8HL-01,0.04307224,0.068041163,0.010999639,PRAD,
TCGA-QB-A6FS-06,0.03434268,0.059815338,0.010999639,SKCM,
TCGA-D3-A8GE-06,0.039927986,0.06489626,0.000999989,SKCM,
TCGA-D9-A1X3-06,0.038842935,0.070234473,0.000999989,SKCM,
TCGA-E7-A677-01,0.030715286,0.044347778,0.071001829,BLCA,
TCGA-Z6-AAPN-01,0.036046806,0.062706557,0.000999989,ESCA,
TCGA-P5-A72W-01,0.038830286,0.065727012,0.000999989,LGG,
TCGA-G3-AAV1-01,0.035282843,0.067945968,0.000999989,LIHC,
TCGA-KC-A4BN-01,0.034018034,0.05963079,0.421002294,PRAD,
TCGA-UP-A6WW-01,0.035166683,0.060634601,0.300992616,HNSC,
TCGA-CJ-6027-01,0.048821524,0.099973966,0.000999989,KIRC,
TCGA-RB-AA9M-01,0.038591329,0.065714441,0.000999989,PAAD,
TCGA-V4-A9EE-01,0.037133153,0.055633241,0.000999989,UVM,
TCGA-MX-A5UG-01,0.035600311,0.079509238,0.121001765,STAD,
TCGA-18-5592-01,0.032690253,0.057444489,0.000999989,LUSC,
