sample,chrX_non_escaping_promoter_CpG_islands_median_beta,autosome_median_beta,XIST_TPM,Classification,Secondary_Class
TCGA-YL-A8HM-01,0.043929259,0.075570048,0.000999989,PRAD,
TCGA-DJ-A3VL-01,0.038956408,0.062314659,0.11099757,THCA,
TCGA-55-8092-01,0.067007263,0.104364794,0.071001829,LUAD,
TCGA-AB-2890-03,0.035060409,0.061017927,0.000999989,LAML,
TCGA-E1-A7YU-01,0.03654644,0.060738485,0.130996484,LGG,
TCGA-HU-A4GC-01,0.043537439,0.098774719,0.041000917,STAD,
TCGA-CR-6492-01,0.038874871,0.073935246,0.000999989,HNSC,
TCGA-66-2785-01,0.01979171,0.060711384,0.000999989,LUSC,
TCGA-CV-7101-01,0.038389691,0.072278723,0.000999989,HNSC,
TCGA-SX-A71V-01,0.053426855,0.078377972,0.141003219,KIRP,
TCGA-HC-A631-01,0.035148582,0.058104309,0.000999989,PRAD,
TCGA-AB-2870-03,0.035585149,0.052906796,0.811014717,LAML,
TCGA-L5-A8NE-01,0.053622819,0.079762467,0.081001925,ESCA,
TCGA-OR-A5KZ-01,0.034877312,0.05220373,0.201004541,ACC,
TCGA-DK-AA6U-01,0.033667345,0.058433517,0.030999742,BLCA,
TCGA-CJ-5671-01,0.041315524,0.07266526,0.000999989,KIRC,
TCGA-22-0944-01,0.01889247,0.053262579,0.000999989,LUSC,
TCGA-SG-A849-01,0.044373692,0.090201979,0.000999989,SARC,
TCGA-ZN-A9VO-01,0.036050678,0.062100792,0.000999989,MESO,
TCGA-P5-A737-01,0.039177589,0.076517751,0.531005975,LGG,
TCGA-CF-A7I0-01,0.038987652,0.060104046,0.521016151,BLCA,
TCGA-EJ-7789-01,0.038547442,0.069757455,0.21099782,PRAD,
TCGA-WB-A822-01,0.040213042,0.083571616,0.181004817,PCPG,
TCGA-YL-A8HK-01,0.036325152,0.063320933,0.090999347,PRAD,
TCGA-DU-8163-01,0.042834156,0.07416419,0.260996072,LGG,
TCGA-D3-A3MO-06,0.036188848,0.05697039,2.081033227,SKCM,
TCGA-G9-6336-01,0.046949621,0.083013581,0.000999989,PRAD,
TCGA-G2-A2EO-01,0.044079534,0.08354336,0.000999989,BLCA,
TCGA-BR-6707-01,0.049569728,0.266860476,0.000999989,STAD,
TCGA-J9-A8CK-01,0.040940704,0.065199249,0.171003766,PRAD,
TCGA-FV-A2QR-01,0.040244338,0.066721414,0.041000917,LIHC,
TCGA-UY-A9PB-01,0.036064077,0.066689108,0.000999989,BLCA,
TCGA-XU-A92Z-01,0.02904848,0.050986083,0.190994103,THYM,
TCGA-NK-A5CX-01,0.037091469,0.067212047,0.220997201,LUSC,
TCGA-D9-A6EA-06,0.033527876,0.06302787,0.010999639,SKCM,
TCGA-CZ-5984-01,0.041557369,0.074983513,0.000999989,KIRC,
TCGA-UD-AAC5-01,0.04028579,0.067630935,0.050998549,MESO,
TCGA-FD-A43Y-01,0.040416228,0.062654137,0.000999989,BLCA,
TCGA-W2-A7HB-01,0.036717332,0.050293594,0.451000207,PCPG,
TCGA-GC-A3I6-01,0.039740083,0.066432328,0.000999989,BLCA,
TCGA-ER-A19N-06,0.042399332,0.073344125,0.11099757,SKCM,
TCGA-W3-AA1Q-06,0.036104774,0.07901468,0.041000917,SKCM,
TCGA-D6-A74Q-01,0.043417251,0.067419255,0.280991813,HNSC,
TCGA-DV-A4VZ-01,0.039476027,0.059703202,0.041000917,KIRC,
TCGA-55-8090-01,0.061864027,0.106559687,0.061001985,LUAD,
TCGA-22-0940-01,0.016551411,0.056369287,0.000999989,LUSC,
TCGA-FG-8181-01,0.039168418,0.069081156,0.000999989,LGG,
TCGA-VQ-A8PM-01,0.048303687,0.083754121,0.000999989,STAD,
TCGA-A4-7585-01,0.039337252,0.072388152,0.000999989,KIRP,
TCGA-HZ-A4BH-01,0.040309951,0.06599698,0.000999989,PAAD,
TCGA-49-AARR-01,0.063509576,0.100467812,0.361007321,LUAD,
TCGA-EL-A4K9-01,0.032541116,0.054111041,0.340989684,THCA,
TCGA-DC-5337-01,0.045394874,0.073685525,0.081001925,READ,
TCGA-2F-A9KP-01,0.035380036,0.058586153,0.010999639,BLCA,
TCGA-G2-A3VY-01,0.039435023,0.061823739,0.000999989,BLCA,
TCGA-G9-6371-01,0.043903528,0.07526481,0.000999989,PRAD,
TCGA-5P-A9K3-01,0.033957414,0.067768072,0.000999989,KIRP,
TCGA-BP-5182-01,0.037392593,0.068922452,0.010999639,KIRC,
TCGA-JY-A938-01,0.038301199,0.082442993,0.000999989,ESCA,
TCGA-E1-A7YJ-01,0.042350757,0.065085755,0.251007086,LGG,
TCGA-FD-A43U-01,0.040772222,0.069813659,0.071001829,BLCA,
TCGA-A3-A8OW-01,0.040737394,0.064490567,0.280991813,KIRC,
TCGA-IM-A4EB-01,0.038770339,0.063367024,0.220997201,THCA,
TCGA-ER-A19J-06,0.036415583,0.06414489,0.190994103,SKCM,
TCGA-CW-6087-01,0.044196381,0.085352976,0.041000917,KIRC,
TCGA-VF-A8A8-01,0.039871433,0.078451048,0.311002913,TGCT,TGCT-NS
TCGA-CV-A45Z-01,0.032529458,0.064332487,0.090999347,HNSC,
TCGA-SX-A7SQ-01,0.042585093,0.047759759,0.090999347,KIRP,
TCGA-QB-AA9O-06,0.035654427,0.055590762,0.130996484,SKCM,
TCGA-56-A4BX-01,0.052160858,0.068068369,0.030999742,LUSC,
TCGA-06-0882-01,0.014558951,0.046352573,0.050998549,GBM,
TCGA-BA-A4II-01,0.048829585,0.076602356,0.010999639,HNSC,
TCGA-66-2794-01,0.017283014,0.065548646,0.000999989,LUSC,
TCGA-05-4422-01,0.018673945,0.065408991,0.071001829,LUAD,
TCGA-EJ-7785-01,0.038591305,0.067649929,0.041000917,PRAD,
TCGA-WQ-AB4B-01,0.041353398,0.084328454,0.081001925,LIHC,
TCGA-KL-8346-01,0.045382719,0.063576418,0.000999989,KICH,
TCGA-BP-5185-01,0.03192752,0.058903471,0.071001829,KIRC,
TCGA-B0-5402-01,0.030761341,0.051825448,0.000999989,KIRC,
TCGA-AB-2980-03,0.036535235,0.063236386,0.000999989,LAML,
TCGA-EE-A2MD-06,0.040146332,0.071741092,0.240999156,SKCM,
TCGA-05-4420-01,0.032691613,0.085067531,0.041000917,LUAD,
TCGA-ER-A2NH-06,0.047054599,0.080162439,0.020999518,SKCM,
TCGA-CD-A4MJ-01,0.038091454,0.121853507,0.000999989,STAD,
TCGA-AZ-5403-01,0.041864952,0.068014177,0.041000917,COAD,
TCGA-CW-5591-01,0.044694601,0.072763427,0.000999989,KIRC,
TCGA-EB-A51B-01,0.039347552,0.059752378,0.580995945,SKCM,
TCGA-CD-5798-01,0.046296789,0.096267731,0.061001985,STAD,
TCGA-DB-5275-01,0.040311014,0.086832993,0.21099782,LGG,
TCGA-IQ-7630-01,0.037664577,0.072651607,0.030999742,HNSC,
TCGA-NC-A5HE-01,0.040649049,0.071504277,0.000999989,LUSC,
TCGA-86-7713-01,0.084777674,0.116777161,0.000999989,LUAD,
TCGA-VN-A88I-01,0.042691061,0.072383474,0.441015113,PRAD,
TCGA-AB-2944-03,0.034380689,0.072218575,0.181004817,LAML,
TCGA-BP-4803-01,0.017521618,0.058714006,0.010999639,KIRC,
TCGA-YR-A95A-01,0.033350256,0.067100304,0.000999989,CHOL,
TCGA-AB-2933-03,0.038138588,0.057116896,0.000999989,LAML,
TCGA-TQ-A7RU-01,0.03904299,0.078114427,0.000999989,LGG,
TCGA-XM-AAZ2-01,0.03314806,0.055631514,0.150997859,THYM,
TCGA-44-A47B-01,0.083237823,0.117835724,0.850981692,LUAD,
TCGA-DH-A66F-01,0.037997968,0.073050736,0.010999639,LGG,
TCGA-DD-AAEE-01,0.035503401,0.058228523,0.000999989,LIHC,
TCGA-OR-A5JX-01,0.036444616,0.050036173,0.291001804,ACC,
TCGA-CJ-4899-01,0.020409007,0.068489204,0.081001925,KIRC,
TCGA-P4-AAVL-01,0.033257415,0.056064828,0.000999989,KIRP,
TCGA-MQ-A4LV-01,0.037833297,0.068811089,0.000999989,MESO,
TCGA-XK-AAIW-01,0.033284451,0.056327638,0.000999989,PRAD,
TCGA-KK-A7AU-01,0.042576134,0.068277544,0.081001925,PRAD,
TCGA-DK-AA6R-01,0.045363613,0.07260824,0.511001701,BLCA,
TCGA-KO-8408-01,0.046496595,0.074507178,0.050998549,KICH,
TCGA-EJ-5512-01,0.041601377,0.078157485,0.010999639,PRAD,
TCGA-B0-5115-01,0.038215392,0.068052317,0.171003766,KIRC,
TCGA-CN-4726-01,0.050693808,0.095584665,0.041000917,HNSC,
TCGA-73-4659-01,0.020168881,0.062140031,0.020999518,LUAD,
TCGA-2J-AABU-01,0.040018223,0.061493763,0.220997201,PAAD,
TCGA-2J-AABE-01,0.045271512,0.071133517,0.260996072,PAAD,
TCGA-FP-A9TM-01,0.039328618,0.078957881,0.260996072,STAD,
TCGA-DK-A1AA-01,0.044085444,0.067601707,0.071001829,BLCA,
TCGA-CF-A5UA-01,0.038107807,0.05875173,0.030999742,BLCA,
TCGA-JY-A6FG-01,0.037465403,0.058442813,0.000999989,ESCA,
TCGA-WA-A7H4-01,0.039018884,0.063406264,0.000999989,HNSC,
TCGA-DZ-6134-01,0.038271324,0.071353454,0.000999989,KIRP,
TCGA-OR-A5JI-01,0.038257379,0.068543917,0.240999156,ACC,
TCGA-B1-A656-01,0.033007108,0.059371727,0.11099757,KIRP,
TCGA-HC-A9TE-01,0.03353208,0.056703098,0.090999347,PRAD,
TCGA-HE-A5NK-01,0.042055066,0.068932126,0.000999989,KIRP,
TCGA-58-8388-01,0.038508702,0.06308424,0.150997859,LUSC,
TCGA-56-8309-01,0.045638589,0.080107136,0.000999989,LUSC,
TCGA-55-6978-01,0.091951084,0.142726485,0.010999639,LUAD,
TCGA-LN-A8I0-01,0.041328587,0.06077816,0.050998549,ESCA,
TCGA-91-6829-01,0.082796352,0.114414675,0.010999639,LUAD,
TCGA-V1-A9OX-01,0.036959736,0.057681532,0.260996072,PRAD,
TCGA-BP-4977-01,0.021567605,0.068645441,0.030999742,KIRC,
TCGA-ER-A3ES-06,0.038863681,0.061078351,0.000999989,SKCM,
TCGA-77-7141-01,0.048883301,0.080610688,0.251007086,LUSC,
TCGA-CD-8532-01,0.043726063,0.075180499,0.150997859,STAD,
TCGA-BP-5195-01,0.037461349,0.062973729,0.010999639,KIRC,
TCGA-DU-A7T8-01,0.039458561,0.066638818,0.171003766,LGG,
TCGA-KK-A8I4-01,0.045959871,0.072066575,0.121001765,PRAD,
TCGA-SR-A6MR-01,0.041123043,0.060945594,0.251007086,PCPG,
TCGA-TM-A7CA-01,0.045778755,0.079293714,0.641001661,LGG,
TCGA-BF-AAP2-01,0.037265915,0.060441259,0.010999639,SKCM,
TCGA-EJ-AB20-01,0.033229886,0.054004456,0.000999989,PRAD,
TCGA-64-1676-01,0.020397984,0.06078682,0.000999989,LUAD,
TCGA-RW-A68B-01,0.037163819,0.047441081,0.000999989,PCPG,
TCGA-DD-AACW-01,0.047988356,0.074935706,0.000999989,LIHC,
TCGA-G9-6343-01,0.039316317,0.068214785,0.000999989,PRAD,
TCGA-IZ-A6M9-01,0.033623102,0.051874656,0.000999989,KIRP,
TCGA-BP-4777-01,0.023305866,0.075681677,0.231005643,KIRC,
TCGA-S9-A6WL-01,0.037181679,0.093839876,0.190994103,LGG,
TCGA-EJ-5542-01,0.03206343,0.06084813,0.000999989,PRAD,
TCGA-HC-7079-01,0.042899746,0.080998341,0.000999989,PRAD,
TCGA-DJ-A1QM-01,0.037846601,0.060505129,0.141003219,THCA,
TCGA-ZG-A9M4-01,0.032540103,0.061973677,0.160996363,PRAD,
TCGA-ZF-A9R2-01,0.035868246,0.060389855,0.000999989,BLCA,
TCGA-BP-5202-01,0.031892457,0.05813497,0.000999989,KIRC,
TCGA-85-8355-01,0.051980628,0.08014791,0.000999989,LUSC,
TCGA-ZP-A9D2-01,0.03759991,0.066929097,0.000999989,LIHC,
TCGA-Y8-A8S1-01,0.031036023,0.054442733,0.000999989,KIRP,
TCGA-33-AASJ-01,0.04435133,0.085362175,0.181004817,LUSC,
TCGA-RS-A6TP-01,0.035542382,0.058260504,0.471000338,HNSC,
TCGA-CA-5255-01,0.043913987,0.084220657,0.330999284,COAD,
TCGA-FD-A6TK-01,0.067130378,0.077174427,0.000999989,BLCA,
TCGA-2Z-A9J3-01,0.037091513,0.050827783,0.000999989,KIRP,
TCGA-W5-AA2X-01,0.030799071,0.045131563,0.251007086,CHOL,
TCGA-RW-A689-01,0.03616916,0.053019825,0.240999156,PCPG,
TCGA-BR-8589-01,0.042426058,0.344647463,0.010999639,STAD,
TCGA-CJ-5679-01,0.03871918,0.068304331,0.821026105,KIRC,
TCGA-GN-A4U9-06,0.032470495,0.059378616,0.081001925,SKCM,
TCGA-DU-6393-01,0.033553549,0.078520194,0.020999518,LGG,
TCGA-M7-A725-01,0.040993603,0.067512292,0.041000917,PRAD,
TCGA-CU-A0YN-01,0.038594719,0.077128234,0.121001765,BLCA,
TCGA-GC-A3BM-01,0.036657509,0.056976302,0.010999639,BLCA,
TCGA-RD-A7C1-01,0.044583539,0.08150006,1.17096666,STAD,
TCGA-CZ-4861-01,0.024113549,0.078553958,0.201004541,KIRC,
TCGA-18-4086-01,0.017381894,0.063089798,0.000999989,LUSC,
TCGA-XU-A932-01,0.032858673,0.056676033,0.240999156,THYM,
TCGA-32-2632-01,0.019052246,0.056531223,0.121001765,GBM,
TCGA-P8-A6RY-01,0.037443455,0.054598421,0.100998096,PCPG,
TCGA-KK-A6E6-01,0.030917296,0.057692007,0.190994103,PRAD,
TCGA-DX-A1L2-01,0.053241941,0.05099744,0.000999989,SARC,
TCGA-YL-A8HO-01,0.044756336,0.079544284,0.21099782,PRAD,
TCGA-P3-A5QE-01,0.037937115,0.062647356,0.130996484,HNSC,
TCGA-BP-4177-01,0.03726619,0.05933135,0.201004541,KIRC,
TCGA-2Z-A9J7-01,0.031449819,0.047347575,0.061001985,KIRP,
TCGA-WB-A81K-01,0.037350898,0.052139546,0.081001925,PCPG,
TCGA-XF-AAN7-01,0.047083117,0.066993053,0.010999639,BLCA,
TCGA-G3-A3CJ-01,0.041654323,0.07634066,0.000999989,LIHC,
TCGA-CS-6666-01,0.037061976,0.065941575,0.300992616,LGG,
TCGA-WB-A81F-01,0.029536977,0.045209688,0.11099757,PCPG,
TCGA-GN-A26C-01,0.048302604,0.093062887,0.000999989,SKCM,
TCGA-EJ-A8FU-01,0.042963747,0.075302015,0.061001985,PRAD,
TCGA-G2-A2EL-01,0.027317775,0.041359217,0.100998096,BLCA,
TCGA-BJ-A45C-01,0.039633864,0.063549655,0.000999989,THCA,
TCGA-2J-AAB4-01,0.040666178,0.062007643,0.171003766,PAAD,
TCGA-IZ-8195-01,0.03304114,0.059701493,0.000999989,KIRP,
TCGA-CN-A63U-01,0.032026803,0.052365509,0.041000917,HNSC,
TCGA-DB-A4XB-01,0.039741576,0.063871712,0.000999989,LGG,
TCGA-37-4135-01,0.015233786,0.048929433,0.000999989,LUSC,
TCGA-LN-A9FO-01,0.036630177,0.058824234,1.621017875,ESCA,
TCGA-FG-A6IZ-01,0.03808427,0.082953154,0.491001726,LGG,
TCGA-VQ-A94P-01,0.038496181,0.070678461,0.130996484,STAD,
TCGA-Z6-A8JD-01,0.048134316,0.071721311,0.030999742,ESCA,
TCGA-F4-6463-01,0.04650377,0.07940426,0.121001765,COAD,
TCGA-21-5783-01,0.04201038,0.068545879,0.121001765,LUSC,
TCGA-BJ-A18Z-01,0.049693076,0.080585169,0.000999989,THCA,
TCGA-CW-5589-01,0.042885524,0.067205368,0.610981245,KIRC,
TCGA-DX-A8BM-01,0.032687942,0.048825553,0.041000917,SARC,
TCGA-EL-A4K6-01,0.035180279,0.052191853,0.460987648,THCA,
TCGA-52-7812-01,0.038419631,0.072587061,0.000999989,LUSC,
TCGA-CN-6011-01,0.043024333,0.072783066,0.000999989,HNSC,
TCGA-BF-AAP6-01,0.035003258,0.055280732,0.000999989,SKCM,
TCGA-EE-A3AH-06,0.037094139,0.05640774,0.11099757,SKCM,
TCGA-SP-A6QF-01,0.035287574,0.053921569,0.081001925,PCPG,
TCGA-CF-A47Y-01,0.038984552,0.057995406,0.000999989,BLCA,
TCGA-AB-2875-03,0.036751321,0.058622789,0.000999989,LAML,
TCGA-B1-A657-01,0.031302186,0.056714248,0.000999989,KIRP,
TCGA-IG-A5B8-01,0.040032537,0.06221491,0.000999989,ESCA,
TCGA-98-8022-01,0.038779572,0.068556054,0.171003766,LUSC,
TCGA-DD-A11A-01,0.035651426,0.069655191,0.050998549,LIHC,
TCGA-4R-AA8I-01,0.039918599,0.070885796,0.010999639,LIHC,
TCGA-IN-7808-01,0.048541369,0.08920858,0.050998549,STAD,
TCGA-J4-AATZ-01,0.040165526,0.069344504,0.000999989,PRAD,
TCGA-27-1830-01,0.018051373,0.054584043,0.21099782,GBM,
TCGA-CR-7390-01,0.036462537,0.057324424,0.000999989,HNSC,
TCGA-2H-A9GH-01,0.04170221,0.076123241,0.171003766,ESCA,
TCGA-XJ-A83F-01,0.038105039,0.062600002,0.000999989,PRAD,
TCGA-D7-6524-01,0.044644204,0.095091467,0.050998549,STAD,
TCGA-YT-A95H-01,0.035290954,0.061334367,0.260996072,THYM,
TCGA-VN-A88O-01,0.036278623,0.0679351,0.000999989,PRAD,
TCGA-CN-A497-01,0.036770259,0.060823489,0.260996072,HNSC,
TCGA-AB-2880-03,0.034919177,0.060627115,0.000999989,LAML,
TCGA-ZF-AA4R-01,0.031687122,0.051892976,0.000999989,BLCA,
TCGA-05-4389-01,0.019353519,0.06447263,0.071001829,LUAD,
TCGA-G3-A7M7-01,0.03631403,0.068813601,0.010999639,LIHC,
TCGA-KK-A8IF-01,0.041928352,0.063899036,0.000999989,PRAD,
TCGA-BR-7901-01,0.040164129,0.066422288,0.171003766,STAD,
TCGA-2Y-A9GW-01,0.04072963,0.080872601,0.081001925,LIHC,
TCGA-GS-A9TX-01,0.03975428,0.070209702,0.171003766,DLBC,
TCGA-UB-A7MD-01,0.034125843,0.062658848,0.081001925,LIHC,
TCGA-X7-A8DG-01,0.030236387,0.053835454,0.220997201,THYM,
TCGA-2Z-A9JR-01,0.036340849,0.060115922,0.090999347,KIRP,
TCGA-21-1081-01,0.019448184,0.055511076,0.000999989,LUSC,
TCGA-06-0211-09,0.043853437,0.073228787,0.105999627,GBM,
TCGA-QR-A6GZ-09,0.04186082,0.058528761,0.270993943,PCPG,
TCGA-AB-2828-03,0.03518712,0.052986515,0.081001925,LAML,
TCGA-CQ-A4C9-01,0.036023396,0.06068025,1.051027196,HNSC,
TCGA-66-2795-01,0.019444705,0.062865304,0.000999989,LUSC,
TCGA-IB-AAUM-01,0.034329866,0.067350812,0.171003766,PAAD,
TCGA-D3-A3CB-06,0.049488594,0.109723178,0.000999989,SKCM,
TCGA-XJ-A9DK-01,0.031865614,0.054563317,0.291001804,PRAD,
TCGA-HT-7677-01,0.044128913,0.090514747,0.010999639,LGG,
TCGA-NC-A5HJ-01,0.043176761,0.068878518,0.150997859,LUSC,
TCGA-CN-A6V3-01,0.037361893,0.059054078,0.000999989,HNSC,
TCGA-ZF-A9RL-01,0.033574317,0.050687168,0.030999742,BLCA,
TCGA-86-8585-01,0.065565128,0.097700219,0.061001985,LUAD,
TCGA-HT-7604-01,0.040813949,0.072909917,0.11099757,LGG,
TCGA-33-4532-01,0.018254694,0.054690461,0.030999742,LUSC,
TCGA-UF-A7JH-01,0.040103751,0.064697938,0.020999518,HNSC,
TCGA-63-7023-01,0.038245072,0.059677799,0.000999989,LUSC,
TCGA-E7-A6MF-01,0.046052643,0.060467928,0.000999989,BLCA,
TCGA-VR-AA4D-01,0.041587142,0.071511319,0.061001985,ESCA,
TCGA-21-1079-01,0.017355565,0.056010126,0.010999639,LUSC,
TCGA-DD-AADN-01,0.035526328,0.069173185,0.000999989,LIHC,
TCGA-DH-5143-01,0.037879247,0.077364549,0.260996072,LGG,
TCGA-BR-A4J9-01,0.035549299,0.069306298,0.030999742,STAD,
TCGA-BF-AAP1-01,0.039119674,0.060573914,0.240999156,SKCM,
TCGA-YJ-A8SW-01,0.038366274,0.06590126,0.000999989,PRAD,
TCGA-FD-A3SR-01,0.045116317,0.06981772,0.441015113,BLCA,
TCGA-DX-A6BG-01,0.038835178,0.056556421,0.000999989,SARC,
TCGA-BA-A6DJ-01,0.033018009,0.093598633,0.000999989,HNSC,
TCGA-QH-A6CY-01,0.044296785,0.085621865,0.000999989,LGG,
TCGA-P3-A6T6-01,0.043880182,0.063626324,0.071001829,HNSC,
TCGA-B8-5162-01,0.040961123,0.075511478,0.020999518,KIRC,
TCGA-77-A5G1-01,0.039823077,0.069079427,0.000999989,LUSC,
TCGA-EP-A3RK-01,0.039181808,0.081439237,0.081001925,LIHC,
TCGA-DA-A1IC-06,0.049017692,0.084129026,0.090999347,SKCM,
TCGA-R8-A6MK-01,0.036139199,0.067333197,0.061001985,LGG,
TCGA-G9-6373-01,0.054952619,0.075985167,0.491001726,PRAD,
TCGA-98-A53I-01,0.047016711,0.076875136,0.000999989,LUSC,
TCGA-WE-AAA0-06,0.035888506,0.058038981,0.071001829,SKCM,
TCGA-E3-A3E5-01,0.042070529,0.066541663,0.010999639,THCA,
TCGA-VQ-A92D-01,0.042620596,0.078002838,0.000999989,STAD,
TCGA-QA-A7B7-01,0.041398739,0.069619261,0.401007187,LIHC,
TCGA-55-6968-01,0.098373496,0.125592583,0.970970924,LUAD,
TCGA-G7-6790-01,0.039678958,0.063105265,0.311002913,KIRP,
TCGA-3A-A9IO-01,0.037834758,0.059441549,0.181004817,PAAD,
TCGA-58-8392-01,0.046612912,0.071835253,0.100998096,LUSC,
TCGA-CC-A5UE-01,0.036667172,0.056596287,0.000999989,LIHC,
TCGA-VW-A8FI-01,0.043518469,0.069021255,0.21099782,LGG,
TCGA-SW-A7EB-01,0.042044729,0.068958763,1.311029365,STAD,
TCGA-B0-4813-01,0.036738298,0.064795863,0.451000207,KIRC,
TCGA-K4-A5RH-01,0.030725469,0.052714338,0.090999347,BLCA,
TCGA-ZF-A9RM-01,0.039267072,0.051204967,0.000999989,BLCA,
TCGA-DB-A64S-01,0.034635493,0.068299029,0.521016151,LGG,
TCGA-HP-A5MZ-01,0.038297767,0.07571105,0.071001829,LIHC,
TCGA-RD-A8N5-01,0.038643645,0.060535981,0.000999989,STAD,
TCGA-DV-A4VX-01,0.037459799,0.06005325,0.010999639,KIRC,
TCGA-WN-A9G9-01,0.037358633,0.065446919,0.081001925,KIRP,
TCGA-MP-A4TD-01,0.109041974,0.139566228,0.21099782,LUAD,
TCGA-HT-8109-01,0.035191424,0.075137977,0.041000917,LGG,
TCGA-EE-A20I-06,0.037546208,0.067434585,0.100998096,SKCM,
TCGA-BR-8297-01,0.040483703,0.077143092,0.11099757,STAD,
TCGA-L5-A4ON-01,0.035674736,0.061602509,0.030999742,ESCA,
TCGA-ET-A25M-01,0.039191949,0.065879876,0.190994103,THCA,
TCGA-CH-5746-01,0.032610815,0.059260092,0.000999989,PRAD,
TCGA-AT-A5NU-01,0.037355549,0.054523947,0.171003766,KIRP,
TCGA-MK-A4N6-01,0.029863403,0.048763392,0.160996363,THCA,
TCGA-XJ-A9DX-01,0.036034115,0.058190361,0.000999989,PRAD,
TCGA-BR-4294-01,0.021974324,0.064429069,0.000999989,STAD,
TCGA-B9-4114-01,0.017140582,0.051891324,0.061001985,KIRP,
TCGA-S9-A6U0-01,0.041629893,0.067162812,0.000999989,LGG,
TCGA-33-4586-01,0.032909445,0.054188407,0.010999639,LUSC,
TCGA-EE-A3J3-06,0.039087893,0.068588498,0.000999989,SKCM,
TCGA-86-8359-01,0.064821521,0.097667566,0.260996072,LUAD,
TCGA-XF-A9SW-01,0.036414205,0.070098396,0.160996363,BLCA,
TCGA-FV-A3R2-01,0.037361141,0.064602374,0.171003766,LIHC,
TCGA-BJ-A3EZ-01,0.037751855,0.056288615,0.050998549,THCA,
TCGA-J9-A8CP-01,0.041144059,0.062235778,0.130996484,PRAD,
TCGA-L5-A891-01,0.041611055,0.059224126,0.000999989,ESCA,
TCGA-K4-A5RJ-01,0.044874167,0.071734044,0.000999989,BLCA,
TCGA-BP-5180-01,0.030318612,0.055524951,0.081001925,KIRC,
TCGA-BP-4776-01,0.025623596,0.071523493,0.11099757,KIRC,
TCGA-QR-A6H0-01,0.043254673,0.07396699,0.580995945,PCPG,
TCGA-A4-7286-01,0.037358601,0.06260339,0.231005643,KIRP,
TCGA-KK-A8IL-01,0.038629592,0.059830073,0.121001765,PRAD,
TCGA-AA-3511-01,0.046042036,0.075818885,0.000999989,COAD,
TCGA-QK-A6V9-01,0.042065818,0.083792078,0.000999989,HNSC,
TCGA-HU-A4H5-01,0.036402477,0.058301781,0.190994103,STAD,
TCGA-FJ-A3ZE-01,0.037131807,0.051723666,0.041000917,BLCA,
TCGA-56-8623-01,0.040339685,0.069317737,0.410997066,LUSC,
TCGA-A6-5666-01,0.046457278,0.08160041,0.000999989,COAD,
TCGA-CV-A6JZ-01,0.038459787,0.085459867,0.000999989,HNSC,
TCGA-AB-2853-03,0.033772651,0.048072959,0.150997859,LAML,
TCGA-AB-2821-03,0.039715462,0.070451988,0.010999639,LAML,
TCGA-O2-A52N-01,0.03591734,0.064758922,0.000999989,LUSC,
TCGA-XN-A8T3-01,0.049218351,0.074120918,0.090999347,PAAD,
TCGA-CR-7376-01,0.046112794,0.090555656,0.000999989,HNSC,
TCGA-KK-A7AZ-01,0.03964409,0.058098691,0.000999989,PRAD,
TCGA-97-A4LX-01,0.080613871,0.115540979,0.090999347,LUAD,
TCGA-A6-A567-01,0.039169307,0.059960716,0.020999518,COAD,
TCGA-LN-A7HV-01,0.037605773,0.060228647,0.000999989,ESCA,
TCGA-CJ-4868-01,0.022564678,0.069471732,0.100998096,KIRC,
TCGA-22-5472-01,0.034895844,0.059643347,0.000999989,LUSC,
TCGA-EE-A180-06,0.035914038,0.066026829,0.27100662,SKCM,
TCGA-F9-A97G-01,0.034630305,0.062792198,0.361007321,KIRP,
TCGA-A8-A085-01,0.018151798,0.054356356,0.000999989,BRCA,
TCGA-ER-A19A-06,0.046527458,0.08550058,0.000999989,SKCM,
TCGA-DX-A7ER-01,0.038817839,0.048383237,0.190994103,SARC,
TCGA-AB-2935-03,0.040955049,0.072247961,0.330999284,LAML,
TCGA-DK-A3IN-01,0.037015684,0.060888257,0.27100662,BLCA,
TCGA-MH-A55W-01,0.033514951,0.056327272,0.000999989,KIRP,
TCGA-BR-8286-01,0.039986,0.076905711,0.130996484,STAD,
TCGA-DU-5853-01,0.044240008,0.104573721,0.100998096,LGG,
TCGA-HT-8015-01,0.042290752,0.065462883,0.410997066,LGG,
TCGA-E1-5302-01,0.044344265,0.081635622,0.121001765,LGG,
TCGA-GD-A6C6-01,0.034816199,0.054953929,0.650986712,BLCA,
TCGA-63-A5MU-01,0.037196473,0.059592763,0.010999639,LUSC,
TCGA-77-6844-01,0.035875848,0.05861252,0.000999989,LUSC,
TCGA-CQ-5334-01,0.047797618,0.107476396,0.000999989,HNSC,
TCGA-39-5028-01,0.035280017,0.062995089,0.071001829,LUSC,
TCGA-D7-6820-01,0.040093614,0.067664984,0.000999989,STAD,
TCGA-IN-A6RL-01,0.041187157,0.075421028,0.501006074,STAD,
TCGA-CN-6994-01,0.038918076,0.0682997,0.171003766,HNSC,
TCGA-26-5133-01,0.039599522,0.069952334,0.050998549,GBM,
TCGA-MF-A522-01,0.040010028,0.071421589,0.010999639,LUSC,
TCGA-DA-A95X-06,0.038022462,0.063325406,0.010999639,SKCM,
TCGA-Y8-A8S0-01,0.033439974,0.052694625,0.000999989,KIRP,
