sample,chrX_non_escaping_promoter_CpG_islands_mean_beta,autosome_mean_beta,XIST_TPM,Classification,Secondary_Class
TCGA-BR-8368-01,0.459301634,0.08021012,30.74116639,STAD,
TCGA-29-1699-01,0.178966167,0.043202838,3.181043278,OV,
TCGA-BH-A204-01,0.327713786,0.079484328,112.4624834,BRCA,
TCGA-A2-A0EO-01,0.420713781,0.071142595,39.7807894,BRCA,
TCGA-CV-7099-01,0.444811304,0.07743145,19.86146312,HNSC,
TCGA-61-1900-01,0.131360164,0.040573181,70.84037775,OV,
TCGA-E2-A1BC-01,0.46271336,0.06909556,181.34586,BRCA,
TCGA-B8-4146-01,0.453831402,0.077473806,151.8707262,KIRC,
TCGA-OR-A5K0-01,0.25669875,0.081270194,140.8094159,ACC,
TCGA-QR-A70C-01,0.360818551,0.057370381,347.5315148,PCPG,
TCGA-DJ-A1QD-01,0.361403004,0.057000675,86.99134708,THCA,
TCGA-E2-A2P5-01,0.3834571,0.08138019,54.13913755,BRCA,
TCGA-71-8520-01,0.409313152,0.099057965,48.291588,LUAD,
TCGA-MY-A5BF-01,0.440329685,0.067280021,62.27149455,CESC,
TCGA-VS-A9UB-01,0.379790598,0.071049893,146.819522,CESC,
TCGA-D7-6528-01,0.375738104,0.077198712,47.24206098,STAD,
TCGA-78-7540-01,0.349316974,0.114499406,15.71096618,LUAD,
TCGA-DS-A0VL-01,0.418031821,0.071796472,152.9482723,CESC,
TCGA-20-1687-01,0.446148632,0.047672957,5.14082535,OV,
TCGA-E2-A10A-01,0.413314231,0.067504871,254.7432307,BRCA,
TCGA-EO-A3B1-01,0.432103734,0.071660243,77.77313558,UCEC,
TCGA-A1-A0SD-01,0.2295636,0.077632206,30.00019556,BRCA,
TCGA-26-5135-01,0.372742637,0.06424727,90.69807338,GBM,
TCGA-X7-A8M0-01,0.331964601,0.073352894,205.0881038,THYM,
TCGA-A2-A04U-01,0.420267055,0.067947003,54.76187732,BRCA,
TCGA-DH-5140-01,0.38153508,0.060642306,209.7751535,LGG,
TCGA-FU-A770-01,0.431088407,0.073686311,159.5207182,CESC,
TCGA-P4-A5E7-01,0.453858034,0.064000515,104.293107,KIRP,
TCGA-OR-A5J6-01,0.396268426,0.05951776,156.7259213,ACC,
TCGA-EQ-8122-01,0.370717102,0.056308522,11.3309742,STAD,
TCGA-B0-5110-01,0.491342999,0.066845359,315.6977132,KIRC,
TCGA-AQ-A54N-01,0.177997602,0.068335614,6.361204645,BRCA,
TCGA-E2-A10E-01,0.528762301,0.071212356,176.3991746,BRCA,
TCGA-ET-A25J-01,0.441148662,0.073920437,110.148039,THCA,
TCGA-C5-A7UE-01,0.429490414,0.091318054,277.7417022,CESC,
