sample,chrX_non_escaping_promoter_CpG_islands_mean_beta,autosome_mean_beta,XIST_TPM,Classification,Secondary_Class
TCGA-38-4628-01,0.357136974,0.063376388,2.141022564,LUAD,
TCGA-09-2044-01,0.179654712,0.048531145,0.740976657,OV,
TCGA-24-1431-01,0.132888073,0.075759427,1.80100227,OV,
TCGA-18-3411-01,0.262278132,0.064521913,2.141022564,LUSC,
TCGA-VD-AA8R-01,0.082088529,0.051313293,0.280991813,UVM,
TCGA-KL-8324-01,0.112617394,0.062560072,1.281026216,KICH,
TCGA-OR-A5KW-01,0.161052269,0.052546782,2.860961335,ACC,
TCGA-61-1910-01,0.043144918,0.047141909,2.901099948,OV,
TCGA-13-1410-01,0.098574187,0.038982084,2.901099948,OV,
TCGA-BP-4768-01,0.022762735,0.072416691,0.071001829,KIRC,
TCGA-VD-A8KE-01,0.107714863,0.060584774,1.030968319,UVM,
TCGA-56-7823-01,0.149509159,0.059451666,2.130954811,LUSC,
TCGA-09-1674-01,0.045564523,0.040233395,1.771043932,OV,
TCGA-20-1684-01,0.038201556,0.039642438,1.17096666,OV,
TCGA-EB-A6QZ-01,0.146165658,0.061034548,1.63104886,SKCM,
TCGA-HF-A5NB-01,0.111262516,0.060314097,2.901099948,STAD,
TCGA-AN-A0FJ-01,0.192396356,0.049591909,2.171060606,BRCA,
TCGA-N8-A4PL-01,0.111018254,0.061643039,1.340991414,UCS,
TCGA-V4-A9EY-01,0.399628648,0.051677276,0.511001701,UVM,
TCGA-24-1471-01,0.104933743,0.04383987,2.361003205,OV,
TCGA-04-1347-01,0.077208107,0.065307021,1.180992661,OV,
TCGA-CK-6748-01,0.220394788,0.083456959,1.261027729,COAD,
TCGA-D3-A1Q1-06,0.116512333,0.05887772,1.211000953,SKCM,
TCGA-EE-A2GU-06,0.330733789,0.081365508,2.81103224,SKCM,
TCGA-24-1552-01,0.055297114,0.03949085,0.480997066,OV,
TCGA-KL-8334-01,0.20770983,0.073264851,2.34095954,KICH,
TCGA-Z2-AA3V-06,0.341031163,0.063508853,1.811016888,SKCM,
TCGA-29-1697-01,0.030901294,0.040645921,0.671007129,OV,
TCGA-DA-A1I8-06,0.257932927,0.069046112,2.970899907,SKCM,
TCGA-FW-A3TU-06,0.282429032,0.086872494,1.091036979,SKCM,
TCGA-25-1877-01,0.082824938,0.031344921,0.371002291,OV,
TCGA-13-0801-01,0.56442645,0.078970723,1.890935299,OV,
TCGA-JV-A75J-01,0.478907481,0.057581531,0.220997201,SARC,
TCGA-A1-A0SO-01,0.104950172,0.062148498,2.85106316,BRCA,
TCGA-23-1022-01,0.393088591,0.055700989,1.500975054,OV,
TCGA-61-2101-01,0.128431063,0.045248627,1.781015411,OV,
TCGA-AO-A124-01,0.202568432,0.052360007,2.761017439,BRCA,
TCGA-RZ-AB0B-01,0.138813473,0.06035424,1.691027358,UVM,
TCGA-13-1492-01,0.084358134,0.057879111,2.150988781,OV,
TCGA-V4-A9EX-01,0.117960369,0.052153549,1.82096097,UVM,
TCGA-CV-5973-01,0.319996411,0.071938998,1.970962052,HNSC,
TCGA-25-1870-01,0.076437835,0.041959738,0.000999989,OV,
TCGA-KL-8329-01,0.197330112,0.071812302,1.291009843,KICH,
TCGA-24-1603-01,0.076085392,0.04004887,0.960994447,OV,
TCGA-29-1705-09,0.227754352,0.048039911,2.325974902,OV,
TCGA-09-1661-01,0.15441234,0.070699814,1.311029365,OV,
TCGA-BF-A3DL-01,0.339630136,0.060045363,2.361003205,SKCM,
TCGA-BR-7707-01,0.39945479,0.100251725,1.680977017,STAD,
TCGA-24-1560-01,0.122564077,0.040525999,2.130954811,OV,
TCGA-YG-AA3P-06,0.067100591,0.062578366,1.740980447,SKCM,
TCGA-29-2425-01,0.124432231,0.044043037,0.561010625,OV,
TCGA-33-4589-01,0.335671698,0.074188768,0.330999284,LUSC,
TCGA-04-1655-01,0.07005925,0.04227393,2.541006384,OV,
TCGA-KN-8421-01,0.100113703,0.072209903,1.611048582,KICH,
TCGA-61-1907-01,0.181312774,0.040770599,2.560987125,OV,
TCGA-13-0887-01,0.14353894,0.082302531,2.530986829,OV,
TCGA-KL-8342-01,0.185503655,0.063657527,2.871092875,KICH,
TCGA-DZ-6133-01,0.119592617,0.057944568,2.630979487,KIRP,
TCGA-CJ-4923-01,0.037384616,0.063473759,0.000999989,KIRC,
TCGA-CM-5861-01,0.489038077,0.098094854,2.610995552,COAD,
TCGA-13-1489-09,0.15815363,0.064852003,1.530974871,OV,
