sample,NE_median_gene_level_ratio,E_median_gene_level_ratio,autosome_median_gene_level_ratio,ratio_ne_e,ratio_ne_a,ratio_e_a,XIST_TPM,Classification,Secondary_Class
TCGA-55-6970-01,0.741582296,0.651117133,0.672282783,1.138938386,1.103080898,0.968516745,39.68164696,LUAD,
TCGA-55-A48Z-01,1.15226506,0.908543645,0.746404036,1.268255043,1.54375513,1.217227669,157.7285487,LUAD,
TCGA-50-6597-01,0.463632153,0.423147066,0.418297423,1.095676163,1.108379176,1.011593767,14.28075154,LUAD,
TCGA-J2-8194-01,1.158854118,1.099076998,0.845681351,1.054388473,1.370320058,1.2996349,118.9820393,LUAD,
TCGA-44-4112-01,0.407059084,0.344722591,0.527709358,1.18083089,0.771369842,0.653243278,17.48132456,LUAD,
TCGA-55-6981-01,0.879010729,0.880272583,0.717847312,0.998566519,1.224509327,1.226267158,49.92186753,LUAD,
TCGA-80-5607-01,0.819067523,0.771781387,0.732621896,1.061268821,1.117994872,1.053451161,56.02116187,LUAD,
TCGA-62-A46R-01,0.897039449,0.865220739,0.687429383,1.036775251,1.304918689,1.258632174,233.7949569,LUAD,
TCGA-MP-A4T4-01,0.685705091,0.500512963,0.719784487,1.370004659,0.952653334,0.695365032,155.9348951,LUAD,
TCGA-91-8499-01,0.889561463,0.551535965,0.691391496,1.612880246,1.286624826,0.797718757,35.12192464,LUAD,
TCGA-55-8205-01,1.028835575,0.983390916,0.837274959,1.046212202,1.228790571,1.174513707,35.51114566,LUAD,
TCGA-49-4510-01,0.547596474,0.450892286,0.521876902,1.214472927,1.049282833,0.86398207,6.161151452,LUAD,
TCGA-64-1681-01,1.059984041,0.907759818,0.707812478,1.16769218,1.497549244,1.282486317,71.19973665,LUAD,
TCGA-97-A4M3-01,0.674057679,0.706198402,0.642603973,0.954487686,1.048947264,1.098963641,270.4653559,LUAD,
TCGA-49-4487-01,0.611792432,0.446481476,0.572104229,1.370252666,1.069372329,0.780419814,37.00119603,LUAD,
TCGA-44-A47A-01,0.822652916,0.706879889,0.787517964,1.163780338,1.044614794,0.89760478,47.36994199,LUAD,
TCGA-05-4430-01,0.824867927,0.759273247,0.746622596,1.086391401,1.10479904,1.016943836,15.68050372,LUAD,
TCGA-55-A494-01,0.883711051,1.132802758,0.83875975,0.780110258,1.053592582,1.350568811,225.4087954,LUAD,
TCGA-69-7979-01,0.770555372,0.415590126,0.795771016,1.854123386,0.96831294,0.522248383,75.10307119,LUAD,
TCGA-73-4668-01,0.823916774,0.589816836,0.640545506,1.396902774,1.2862736,0.920803956,9.421129271,LUAD,
TCGA-44-6777-01,0.922431557,0.749919061,0.667766531,1.230041487,1.381368359,1.123025827,9.100841823,LUAD,
TCGA-55-8508-01,0.607177066,0.516985848,0.520594582,1.174455875,1.166314608,0.993068053,21.73126119,LUAD,
TCGA-50-5045-01,0.514597484,0.394111372,0.534242517,1.305715898,0.963228249,0.737701249,18.50059801,LUAD,
TCGA-78-7143-01,1.137337199,1.091297265,0.966308362,1.04218826,1.176991987,1.129346809,109.9801996,LUAD,
TCGA-55-A491-01,0.603178383,0.747552525,0.611841984,0.806870906,0.985840133,1.22180652,13.83067823,LUAD,
TCGA-55-8506-01,0.787469722,0.652670792,0.695430506,1.206534337,1.132348546,0.938513319,85.60362585,LUAD,
TCGA-L9-A5IP-01,0.630302507,0.52915322,0.668684166,1.191153116,0.942601215,0.791335053,9.321098579,LUAD,
TCGA-49-4501-01,0.834964052,0.904700793,0.663365108,0.922917342,1.258679484,1.363805214,18.55067786,LUAD,
TCGA-50-5941-01,0.796482758,0.571638809,0.741838946,1.393332199,1.07365994,0.770569963,13.65067134,LUAD,
TCGA-44-2655-01,0.728112041,0.712113365,0.645650229,1.022466473,1.127719016,1.102939847,32.37032623,LUAD,
TCGA-55-A57B-01,1.354173351,1.21990511,1,1.110064496,1.354173351,1.21990511,286.1048215,LUAD,
TCGA-44-A47G-01,0.716801862,0.718676948,0.702978142,0.997390919,1.019664509,1.022331855,124.2239898,LUAD,
TCGA-83-5908-01,1.162637927,0.984466601,0.883470218,1.180982601,1.315989949,1.114317813,219.3361804,LUAD,
TCGA-86-7954-01,1.411903044,1.309685211,0.987346707,1.078047635,1.429997218,1.326469417,197.457725,LUAD,
