sample,NE_median_gene_level_ratio,E_median_gene_level_ratio,autosome_median_gene_level_ratio,ratio_ne_e,ratio_ne_a,ratio_e_a,XIST_TPM,Classification,Secondary_Class
TCGA-2G-AAFY-01,0.780148317,0.79302,0.942089085,0.983768779,0.828104613,0.841767528,21.91125175,TGCT,TGCT-NS
TCGA-2G-AAGJ-01,0.670869514,0.755090788,0.843054319,0.888462056,0.795760723,0.895660898,11.4811878,TGCT,TGCT-NS
TCGA-YU-A94I-01,0.794550463,0.790593667,1,1.005004842,0.794550463,0.790593667,141.0243034,TGCT,TGCT-NS
TCGA-2G-AAGA-01,0.622455539,0.906499834,0.852689025,0.686658194,0.729991264,1.063107191,95.3525754,TGCT,TGCT-NS
TCGA-YU-AA4L-01,0.906230531,0.967705603,1,0.936473374,0.906230531,0.967705603,23.02134151,TGCT,TGCT-NS
TCGA-2G-AAGT-01,0.640402126,0.719645604,0.991792202,0.889885414,0.645701917,0.725601192,67.2004971,TGCT,TGCT-NS
TCGA-YU-A90P-01,0.866139037,0.810690577,0.955439971,1.068396576,0.906534229,0.84849975,3.861068099,TGCT,TGCT-NS
TCGA-2G-AAKH-01,0.885132907,1.367619035,0.991776708,0.647207215,0.892471965,1.378958614,46.62074003,TGCT,TGCT-NS
TCGA-2G-AAGV-01,0.563261102,0.496497282,0.929445344,1.134469659,0.606018531,0.534186636,113.8113003,TGCT,TGCT-NS
TCGA-2G-AAGF-01,0.46857987,0.476072355,0.678130384,0.984261878,0.690987871,0.702036609,54.54216263,TGCT,TGCT-NS
TCGA-XY-A8S2-01,0.63898775,0.787458904,0.929720073,0.811455362,0.687290474,0.846984944,61.84992754,TGCT,TGCT-NS
TCGA-2G-AAGC-01,0.680192303,0.728188325,1,0.934088449,0.680192303,0.728188325,81.36858515,TGCT,TGCT-NS
TCGA-2G-AAGE-01,0.650466828,0.719614917,0.891429804,0.903909595,0.729689343,0.807259207,80.92984908,TGCT,TGCT-NS
TCGA-SN-A84W-01,0.838138051,0.8930102,1,0.938553726,0.838138051,0.8930102,274.6975056,TGCT,TGCT-NS
TCGA-XE-AAOD-01,0.497672757,0.565646336,0.780466961,0.87983025,0.637660249,0.724753723,100.3641346,TGCT,TGCT-NS
TCGA-2G-AAFL-01,0.526283026,0.632036805,0.913018935,0.832677815,0.576420714,0.692249395,23.16058839,TGCT,TGCT-NS
TCGA-2G-AAKG-09,0.380988973,0.463070565,0.629635252,0.822744959,0.60509473,0.735458448,158.6129573,TGCT,TGCT-NS
TCGA-2G-AAKD-01,0.546520618,0.565403116,0.625573681,0.966603477,0.873631092,0.903815383,3.471117013,TGCT,TGCT-NS
TCGA-W4-A7U4-01,0.718029783,0.840972343,0.874454261,0.853809033,0.821117599,0.96171107,79.63330337,TGCT,TGCT-NS
TCGA-SN-A84Y-01,0.823047548,0.859818065,0.828984924,0.957234538,0.992837776,1.03719385,7.551168968,TGCT,TGCT-NS
TCGA-SN-A6IS-01,0.601214838,0.696946828,1,0.862640899,0.601214838,0.696946828,194.2270058,TGCT,TGCT-NS
TCGA-2G-AAH2-01,0.748996625,0.77434226,1,0.967268175,0.748996625,0.77434226,145.7548419,TGCT,TGCT-NS
TCGA-SN-A84X-01,0.463429615,0.542976836,0.747224483,0.853497947,0.620201326,0.726658251,112.9703214,TGCT,TGCT-NS
TCGA-2G-AAGP-01,1.140297896,1.374120491,1,0.829838361,1.140297896,1.374120491,134.5221564,TGCT,TGCT-NS
TCGA-2G-AAGY-09,1.167296741,1.271917964,1,0.917745306,1.167296741,1.271917964,148.1675506,TGCT,TGCT-NS
TCGA-2G-AAGZ-01,0.568134426,0.604285537,0.750600779,0.940175449,0.756906257,0.805069158,11.21066536,TGCT,TGCT-NS
TCGA-2G-AAFI-01,0.677820067,0.74528183,0.899350966,0.909481541,0.753676921,0.82868853,17.56096232,TGCT,TGCT-NS
TCGA-YU-A90Y-01,0.634054163,0.602257582,0.946981977,1.052795651,0.669552514,0.635975759,7.021114229,TGCT,TGCT-NS
TCGA-2G-AAG8-01,0.464371881,0.683897119,0.861224798,0.679008389,0.539199385,0.794098266,105.0476443,TGCT,TGCT-NS
TCGA-YU-AA61-01,0.977062765,1.018920977,1,0.958919079,0.977062765,1.018920977,5.450920956,TGCT,TGCT-NS
TCGA-2G-AAFZ-01,0.781918666,0.958022232,1,0.816180084,0.781918666,0.958022232,101.3919989,TGCT,TGCT-NS
TCGA-2G-AAGG-01,0.885368863,0.903170371,1,0.980289978,0.885368863,0.903170371,13.30134288,TGCT,TGCT-NS
TCGA-YU-A94D-01,0.793989305,0.695988665,1,1.14080781,0.793989305,0.695988665,444.3953775,TGCT,TGCT-NS
TCGA-2G-AAFM-01,0.480524533,0.387937871,0.58988171,1.238663634,0.814611684,0.657653669,23.04049809,TGCT,TGCT-NS
TCGA-2G-AAGN-01,0.518622842,0.619350631,0.844185736,0.837365486,0.614346843,0.733666307,41.00989089,TGCT,TGCT-NS
