sample,median_of_rounded_avg_modal_copies_per_chr,median_of_unrounded_avg_modal_copies_per_chr
TCGA-14-0867-01,2,2
TCGA-XT-AASU-01,2,1.990260842
TCGA-B7-A5TK-01,2,2
TCGA-12-0822-01,2,2
TCGA-E2-A10E-01,2,2
TCGA-06-1084-01,2,2
TCGA-ZN-A9VU-01,2,2
TCGA-58-8388-01,2,2
TCGA-02-0051-01,2,2
TCGA-A3-3306-01,2,2
TCGA-EL-A3H2-01,2,2
TCGA-A6-6138-01,2,2
TCGA-E7-A97P-01,2,1.999551109
TCGA-76-6286-01,2,2
TCGA-14-0862-01,2,1.802825843
TCGA-WX-AA46-01,2,2
TCGA-19-1786-01,2,2
TCGA-EY-A1GP-01,2,1.955011769
TCGA-ZG-A9ND-01,2,2
TCGA-EJ-5522-01,2,2
TCGA-A3-3324-01,2,2
TCGA-EE-A2MF-01,2,2
TCGA-A6-2681-01,2,1.989965664
TCGA-WB-A820-01,2,1.97565266
TCGA-SC-A6LQ-01,2,1.979537822
TCGA-16-0861-01,2,1.99376595
TCGA-YZ-A985-01,2,2
TCGA-IN-A6RN-01,2,2
TCGA-EE-A3AH-06,2,1.999848351
TCGA-WB-A814-01,2,2
TCGA-DD-A4NL-01,2,2
TCGA-AT-A5NU-01,2,2
TCGA-AB-2824-03,2,2.000450857
TCGA-HT-A4DS-01,2,2
TCGA-BQ-5876-01,2,2
TCGA-50-6593-01,2,2.478117695
TCGA-AN-A03X-01,2,2
TCGA-DU-6410-01,2,2
TCGA-V1-A9Z7-01,2,1.993947569
TCGA-W3-A824-06,2,2
TCGA-85-7710-01,2,2
TCGA-AA-3679-01,2,2.041366717
TCGA-V5-A7RB-01,2,1.999629777
TCGA-AB-2927-03,2,2
TCGA-EY-A1GL-01,2,2
TCGA-DD-A11D-01,2,2
TCGA-DM-A280-01,2,2
TCGA-D7-A6EV-01,2,2.168309945
TCGA-MB-A5YA-01,2,2
TCGA-09-1666-01,2,1.794022729
TCGA-EE-A2GS-06,2,2
TCGA-AP-A1DO-01,2,2
TCGA-DU-7012-01,2,2
TCGA-25-1631-01,2,2
TCGA-55-A491-01,2,2.460533313
TCGA-IS-A3K7-01,2,1.679849443
TCGA-WB-A818-01,2,2
TCGA-G9-6384-01,2,2
TCGA-2A-AAYU-01,2,1.999002293
TCGA-BH-A18S-01,2,2
TCGA-CJ-5680-01,2,2
TCGA-Q1-A5R1-01,2,2
TCGA-59-2355-01,2,2
TCGA-AB-2808-03,2,2.000021216
TCGA-4K-AA1H-01,2,2
TCGA-QK-A6IF-01,2,2
TCGA-DX-A3U8-01,2,2
TCGA-AX-A2H5-01,2,2.022294901
TCGA-AG-A002-01,2,2
TCGA-N5-A4RM-01,2,1.80206605
TCGA-EB-A3XE-01,2,2
TCGA-FS-A1ZF-06,2,2
TCGA-CR-7402-01,2,2
TCGA-FF-8047-01,2,1.998960169
TCGA-B1-A656-01,2,2
TCGA-WC-A87Y-01,2,2
TCGA-FG-A87N-01,2,2
TCGA-B0-5703-01,2,2
TCGA-AX-A2HJ-01,2,2
TCGA-VS-A9UR-01,2,1.984895273
TCGA-CV-A6JD-01,2,2
TCGA-E1-5302-01,2,2
TCGA-EK-A2GZ-01,2,2
TCGA-DJ-A13V-01,2,2
TCGA-J8-A4HW-06,2,2
TCGA-DE-A4MB-01,2,2
TCGA-AB-2886-03,2,2
TCGA-E6-A1M0-01,2,2
TCGA-3B-A9HY-01,2,2
TCGA-5V-A9RR-01,2,2
TCGA-L5-A8NM-01,2,2
TCGA-85-A50Z-01,2,1.903462192
TCGA-B5-A1MW-01,2,2
TCGA-BH-A28Q-01,2,2
TCGA-CC-5260-01,2,1.996526041
TCGA-S9-A6TS-01,2,2
TCGA-04-1648-01,2,1.971228787
TCGA-63-A5MV-01,2,2.317971164
TCGA-AG-4022-01,2,2
TCGA-77-7337-01,2,1.901374327
TCGA-DA-A95W-06,2,1.999635225
TCGA-E2-A14Y-01,2,2
TCGA-Y6-A8TL-01,2,1.998855224
TCGA-BJ-A0Z0-01,2,2
TCGA-CQ-5334-01,2,2
TCGA-ER-A2NG-01,2,2
TCGA-BH-A0BC-01,2,2
TCGA-2A-A8VX-01,2,2
TCGA-13-1412-01,2,2.028265948
TCGA-BR-6710-01,2,2
TCGA-AG-3726-01,2,2
TCGA-86-A4D0-01,2,1.999802662
TCGA-BJ-A2N7-01,2,2
TCGA-BH-A0W5-01,2,2
TCGA-TM-A84F-01,2,2
TCGA-06-0413-01,2,2
TCGA-DQ-7596-01,2,2
TCGA-DD-AADE-01,2,2
TCGA-MQ-A4LP-01,2,1.911963055
TCGA-D3-A3CB-06,2,2
TCGA-EA-A3HQ-01,2,2
TCGA-B6-A0RI-01,2,2
TCGA-VS-A94W-01,2,2
TCGA-XF-AAN8-01,2,2
TCGA-BR-A4J2-01,2,2
TCGA-RP-A690-06,2,2
TCGA-FY-A76V-01,2,2
TCGA-44-6145-01,2,1.992299384
TCGA-ER-A196-01,2,2
TCGA-D1-A16Q-01,2,2
TCGA-CV-A460-01,2,1.845842721
TCGA-AB-2817-03,2,2.000389257
TCGA-24-1555-01,2,1.999765139
TCGA-DB-A4XG-01,2,2
TCGA-QR-A6GY-01,2,2
TCGA-DS-A7WF-01,2,2
TCGA-FF-8062-01,2,2
TCGA-61-1740-01,2,1.694507882
TCGA-XX-A899-01,2,2
TCGA-CR-7392-01,2,2
TCGA-ZF-AA4W-01,2,1.983997574
TCGA-W5-AA30-01,2,1.844606907
TCGA-IQ-7630-01,2,2
TCGA-DD-AAE8-01,2,2
TCGA-GN-A9SD-06,2,1.782942539
TCGA-44-6774-01,2,2
TCGA-B5-A0K6-01,2,2
TCGA-AC-A8OR-01,2,2
TCGA-CD-5803-01,2,2
TCGA-A2-A1FZ-01,2,2
TCGA-AB-2908-03,2,2
TCGA-Z4-AAPF-01,2,2
TCGA-12-0829-01,2,2
TCGA-O8-A75V-01,2,2.000564335
TCGA-DD-AADI-01,2,2
TCGA-CK-4950-01,2,2
TCGA-EY-A215-01,2,2
TCGA-14-1451-01,2,2
TCGA-B0-4815-01,2,2
TCGA-EW-A1P0-01,2,2
TCGA-RT-A6YC-01,2,2.001132477
TCGA-AN-A0FS-01,2,2
TCGA-EE-A184-01,2,2.00316702
TCGA-DU-A5TS-01,2,2
TCGA-FG-7634-01,2,2
TCGA-ET-A3BP-01,2,2
TCGA-D1-A17Q-01,2,2
TCGA-06-5408-01,2,2
TCGA-02-0321-01,2,2
TCGA-12-1093-01,2,2
TCGA-G9-6373-01,2,2
TCGA-C5-A7CM-01,2,1.99949286
TCGA-12-3652-01,2,2
TCGA-X9-A971-01,2,1.953308045
TCGA-5G-A9ZZ-01,2,2
TCGA-95-7944-01,2,1.643539967
TCGA-DD-AADB-01,2,1.999269315
TCGA-D5-6920-01,2,2
TCGA-FY-A3NN-01,2,2
TCGA-16-0849-01,2,2
TCGA-G8-6914-01,2,2
TCGA-DJ-A2QB-01,2,2
TCGA-24-2036-01,2,1.835719929
TCGA-KO-8414-01,2,1.99927822
TCGA-XQ-A8TB-01,2,2
TCGA-3B-A9HJ-01,2,2
TCGA-E1-A7YM-01,2,1.999791897
TCGA-FS-A4F0-06,2,2
TCGA-EW-A1PG-01,2,2
TCGA-EE-A2ME-06,2,2
TCGA-QG-A5Z1-01,2,2
TCGA-KN-8427-01,2,2.378751491
TCGA-T7-A92I-01,2,2
TCGA-CH-5772-01,2,2
TCGA-CG-4306-01,2,2
TCGA-DJ-A2PR-01,2,2
TCGA-B0-5081-01,2,2
TCGA-CV-6952-01,2,2
TCGA-AB-2896-03,2,1.999275031
TCGA-AB-2823-03,2,2
TCGA-B8-4619-01,2,2
TCGA-A5-A2K5-01,2,2
TCGA-DJ-A3UZ-01,2,2
TCGA-XF-A9SJ-01,2,2.017067963
TCGA-EM-A1CU-01,2,2
TCGA-WY-A858-01,2,2
TCGA-62-8395-01,2,2
TCGA-QQ-A5V2-01,2,2
TCGA-05-4434-01,2,2
TCGA-F1-6177-01,2,2
TCGA-AA-A017-01,2,2
TCGA-IB-A6UF-01,2,1.986708559
TCGA-FD-A6TA-01,2,1.886190839
TCGA-19-0960-01,2,2
TCGA-VS-A8QF-01,2,1.867198345
TCGA-39-5039-01,2,2
TCGA-DA-A1HW-01,2,1.880613715
TCGA-ER-A198-06,2,1.998940517
TCGA-YL-A8SH-01,2,2
TCGA-FS-A1ZW-01,2,2
TCGA-WC-A884-01,2,2
TCGA-BP-5169-01,2,2
TCGA-FY-A3BL-01,2,2
TCGA-AX-A0J1-01,2,2
TCGA-B5-A11J-01,2,2
TCGA-D3-A5GL-01,2,2
TCGA-EP-A3JL-01,2,2
TCGA-DM-A1DB-01,2,1.999471119
TCGA-26-5139-01,2,2
TCGA-SH-A9CT-01,2,1.830016156
TCGA-06-0206-01,2,2
TCGA-AA-3524-01,2,2
TCGA-LK-A4O6-01,2,2
TCGA-BJ-A3F0-01,2,2
TCGA-BC-A10T-01,2,2.021122452
TCGA-H7-7774-01,2,2
TCGA-BP-4965-01,2,2
TCGA-36-2539-01,2,1.808437344
TCGA-86-A456-01,2,1.822029831
TCGA-RW-A68F-01,2,2
TCGA-VQ-A8PB-01,2,2
TCGA-MA-AA42-01,2,1.935304411
TCGA-EM-A2P0-01,2,2
TCGA-ZB-A96M-01,2,2
TCGA-ED-A7XP-01,2,2
TCGA-DB-5270-01,2,2
TCGA-CJ-6027-01,2,2
TCGA-63-A5MT-01,2,2
TCGA-B1-A657-01,2,2
TCGA-DB-A75K-01,2,2
TCGA-X7-A8D9-01,2,2
TCGA-EE-A2A6-01,2,2
TCGA-AP-A0LL-01,2,2
TCGA-G7-7501-01,2,2
TCGA-EA-A3Y4-01,2,2
TCGA-FI-A2F9-01,2,2.033986142
TCGA-MY-A5BF-01,2,2
TCGA-AR-A24M-01,2,2
TCGA-DD-A73D-01,2,2.000237469
TCGA-W3-AA1Q-06,2,2
TCGA-A2-A0EW-01,2,2
TCGA-A7-A0CH-01,2,2
TCGA-AO-A129-01,2,1.859902204
TCGA-J4-A83I-01,2,1.989278183
TCGA-13-0924-01,2,1.802997415
TCGA-HC-A4ZV-01,2,2.000454885
TCGA-VQ-AA6A-01,2,1.99767235
TCGA-06-5418-01,2,2
TCGA-FG-5963-01,2,2
TCGA-TT-A6YN-01,2,2.000829259
TCGA-EL-A3TA-01,2,2
TCGA-RW-A68A-01,2,2
TCGA-MA-AA3Z-01,2,1.990189737
TCGA-B0-5120-01,2,2
TCGA-CC-A9FV-01,2,2
TCGA-CQ-5326-01,2,2
TCGA-22-4596-01,2,2.043264899
TCGA-LK-A4O5-01,2,1.99123738
TCGA-B6-A40B-01,2,2
TCGA-ET-A39R-01,2,2
TCGA-3U-A98I-01,2,1.991657503
TCGA-ER-A19J-06,2,2
TCGA-06-1804-01,2,2
TCGA-DD-A39Z-01,2,2
TCGA-DV-A4W0-01,2,2
TCGA-12-0692-01,2,2
TCGA-FV-A495-01,2,2.002878166
TCGA-2Z-A9J8-01,2,2
TCGA-FE-A22Z-01,2,2
TCGA-DK-A3IQ-01,2,1.901040517
TCGA-ER-A195-06,2,1.998203669
TCGA-EB-A42Z-01,2,1.999570535
TCGA-10-0937-01,2,1.847323486
TCGA-CE-A13K-01,2,2
TCGA-27-2524-01,2,2
TCGA-B5-A3FH-01,2,2
TCGA-LN-A4A5-01,2,1.98554236
TCGA-09-1664-01,2,2
TCGA-39-5027-01,2,1.999654926
TCGA-12-1599-01,2,2
TCGA-CH-5751-01,2,1.889393263
TCGA-AJ-A2QL-01,2,2
TCGA-32-1978-01,2,1.997549479
TCGA-A3-3362-01,2,2
TCGA-V1-A9ZG-01,2,1.997968258
TCGA-B6-A0WZ-01,2,2
TCGA-EJ-5525-01,2,2
TCGA-DJ-A4V5-01,2,2
TCGA-AG-3575-01,2,2
TCGA-BR-8487-01,2,2
TCGA-IR-A3LL-01,2,2.000192033
TCGA-AR-A2LO-01,2,2
TCGA-33-4547-01,2,1.918108334
TCGA-TQ-A7RI-01,2,2
TCGA-EB-A44P-01,2,2
TCGA-EW-A1J3-01,2,2
TCGA-KL-8323-01,2,2
TCGA-DC-6154-01,2,2
TCGA-55-6975-01,2,1.642476683
TCGA-MQ-A6BQ-01,2,2
TCGA-DK-AA74-01,2,2
TCGA-16-1047-01,2,2
TCGA-X9-A973-01,2,2
TCGA-ET-A25M-01,2,2
TCGA-DE-A0Y3-01,2,2
TCGA-VS-A8EI-01,2,1.702054777
TCGA-74-6577-01,2,2
TCGA-OR-A5L5-01,2,2
TCGA-HD-7753-01,2,1.519475844
TCGA-KK-A8I6-01,2,2
TCGA-6D-AA2E-01,2,2
TCGA-25-1625-01,2,2
TCGA-HF-7133-01,2,1.808132684
TCGA-AN-A0XW-01,2,2
TCGA-MU-A5YI-01,2,2
TCGA-06-5856-01,2,1.971499167
TCGA-AB-2816-03,2,2
TCGA-CV-6934-01,2,2
TCGA-28-5207-01,2,2
TCGA-P4-AAVL-01,2,2
TCGA-FY-A4B3-01,2,2
TCGA-EI-6511-01,2,2
TCGA-V1-A8MM-01,2,1.999075332
TCGA-AO-A0JA-01,2,2
TCGA-EE-A184-06,2,2.00045744
TCGA-C5-A1BL-01,2,2.000883111
TCGA-F7-A624-01,2,2
TCGA-32-2494-01,2,1.998168066
TCGA-CV-6436-01,2,2
TCGA-EL-A3GO-01,2,2
TCGA-4X-A9FA-01,2,2
TCGA-ER-A2NC-01,2,2
TCGA-EE-A3JD-06,2,2
TCGA-EL-A3ZT-01,2,2
TCGA-DD-AAD0-01,2,2
TCGA-EB-A5SG-01,2,2
TCGA-DD-A1EC-01,2,2
TCGA-CJ-4891-01,2,2
TCGA-AK-3445-01,2,2
TCGA-MP-A4SY-01,2,1.982344572
TCGA-KO-8404-01,2,2
TCGA-EE-A2MH-01,2,2
TCGA-BP-5192-01,2,2.008831162
TCGA-BK-A0C9-01,2,2
TCGA-AJ-A2QN-01,2,2
TCGA-QS-A5YR-01,2,2
TCGA-BF-A5EO-01,2,2.000165968
TCGA-B0-5097-01,2,2
TCGA-2Z-A9JN-01,2,2
TCGA-EP-A26S-01,2,2
TCGA-MB-A5Y8-01,2,1.678144069
TCGA-EE-A2MD-01,2,2
TCGA-EJ-7125-01,2,2
TCGA-O2-A52V-01,2,1.915690869
TCGA-J9-A8CP-01,2,1.993398424
TCGA-CV-7095-01,2,2
TCGA-FR-A3R1-01,2,2
TCGA-EL-A3MY-01,2,2
TCGA-AC-A3W6-01,2,2
TCGA-AN-A0XL-01,2,2
TCGA-P5-A5ET-01,2,2
TCGA-CJ-4876-01,2,2
TCGA-25-2397-01,2,1.843969495
TCGA-BH-A0H9-01,2,2
TCGA-06-0211-02,2,2
TCGA-BP-4961-01,2,2
TCGA-BR-8296-01,2,2.451030577
TCGA-DD-AAEE-01,2,1.99987123
TCGA-A4-8098-01,2,2
TCGA-BP-4766-01,2,2
TCGA-IB-A5SQ-01,2,2
TCGA-WL-A834-01,2,2
TCGA-DD-AAEB-01,2,2
TCGA-EE-A2MH-06,2,2
TCGA-FY-A40K-01,2,2
TCGA-A6-5664-01,2,2
TCGA-56-8622-01,2,2.000378649
TCGA-DW-7834-01,2,2
TCGA-EJ-5527-01,2,1.999832337
TCGA-SI-A71O-06,2,1.603205496
TCGA-D7-6822-01,2,2.20225484
TCGA-AZ-6598-01,2,2
TCGA-AP-A052-01,2,2.011476156
TCGA-AB-2894-03,2,2
TCGA-DK-AA6T-01,2,2
TCGA-XF-A8HI-01,2,2
TCGA-HT-A5R9-01,2,2
TCGA-TM-A84B-01,2,2
TCGA-61-1903-01,2,1.948363035
TCGA-KK-A7B0-01,2,2
TCGA-GM-A3XL-01,2,1.644170046
TCGA-A6-5661-01,2,2
TCGA-BF-A5ER-01,2,2
TCGA-BJ-A3PU-01,2,2
TCGA-BF-A3DJ-01,2,2
TCGA-55-8302-01,2,1.971348158
TCGA-IA-A83T-01,2,2
TCGA-N5-A4RD-01,2,1.883173501
TCGA-EJ-A65J-01,2,2
TCGA-B0-5713-01,2,2
TCGA-BH-A0DQ-01,2,2
TCGA-EV-5902-01,2,2
TCGA-12-0828-01,2,2
TCGA-28-1747-01,2,1.998428072
TCGA-B0-5694-01,2,2
TCGA-F5-6813-01,2,2
TCGA-13-0801-01,2,1.841066597
TCGA-24-1562-01,2,1.997281977
TCGA-DB-5278-01,2,2
TCGA-EE-A2MJ-06,2,2
TCGA-BA-A6DA-01,2,2
TCGA-EL-A4K6-01,2,2
TCGA-HZ-8317-01,2,2
TCGA-2Z-A9JO-01,2,2
TCGA-BA-6869-01,2,2
TCGA-D1-A1NX-01,2,2.013122458
TCGA-HC-A6AP-01,2,2
TCGA-EU-5904-01,2,2
TCGA-VM-A8C8-01,2,2
TCGA-EW-A1PE-01,2,2
TCGA-ZG-A8QY-01,2,1.99777999
TCGA-YL-A8S9-01,2,1.999679919
TCGA-DD-AACL-01,2,2
TCGA-CG-5723-01,2,1.999618531
TCGA-BP-5004-01,2,2
TCGA-VD-AA8Q-01,2,2
TCGA-D5-5538-01,2,1.998555314
TCGA-EJ-A7NM-01,2,1.996941695
TCGA-66-2790-01,2,1.803026484
TCGA-EM-A2OW-01,2,2
TCGA-CS-6186-01,2,2
TCGA-V1-A8ML-01,2,2
TCGA-BH-A1FE-06,2,2
TCGA-CG-4304-01,2,1.981606812
TCGA-F4-6569-01,2,2
TCGA-2W-A8YY-01,2,2
TCGA-P4-AAVK-01,2,2
TCGA-G9-6351-01,2,2
TCGA-AG-A00Y-01,2,2.131401934
TCGA-XV-A9W5-01,2,2
TCGA-G3-AAV2-01,2,2
TCGA-EM-A3FO-01,2,2
TCGA-DJ-A2Q3-01,2,2
TCGA-KO-8411-01,2,2
TCGA-66-2789-01,2,1.989001037
TCGA-C5-A7XC-01,2,1.992340136
TCGA-DW-7841-01,2,2
TCGA-5P-A9K8-01,2,2
TCGA-XV-AAZV-01,2,1.702992391
TCGA-BH-A0DL-01,2,1.743295826
TCGA-HT-7882-01,2,2
TCGA-FF-8046-01,2,2
TCGA-UZ-A9Q0-01,2,2
TCGA-25-1627-01,2,2.26532739
TCGA-BR-6852-01,2,2
TCGA-B8-5552-01,2,2
TCGA-X4-A8KQ-01,2,2
TCGA-AB-2904-03,2,2
TCGA-AD-6889-01,2,2
TCGA-B7-A5TI-01,2,1.976904812
TCGA-AX-A0IZ-01,2,2
TCGA-A7-A5ZW-01,2,2
TCGA-S4-A8RP-01,2,2
TCGA-76-4925-01,2,1.924166099
TCGA-XF-AAN5-01,2,2
TCGA-W5-AA2O-01,2,2
TCGA-BB-7862-01,2,1.908443462
TCGA-DJ-A3V7-01,2,2
TCGA-24-1425-01,2,1.800786519
TCGA-B5-A11N-01,2,2
TCGA-YG-AA3N-01,2,2
TCGA-CN-5358-01,2,2
TCGA-VS-A954-01,2,1.998030786
TCGA-BR-4362-01,2,2
TCGA-TS-A8AS-01,2,2
TCGA-CK-4952-01,2,2
TCGA-50-5930-01,2,2
TCGA-BR-4267-01,2,1.995115065
TCGA-LN-A49U-01,2,2.000879285
TCGA-RD-A8MV-01,2,2.026233191
TCGA-EM-A4FO-01,2,2
TCGA-BG-A0MC-01,2,2
TCGA-VP-A876-01,2,2
TCGA-4V-A9QL-01,2,1.999939041
TCGA-CM-4748-01,2,2
TCGA-DD-A1ED-01,2,2
TCGA-XU-AAY1-01,2,2
TCGA-VS-A9UM-01,2,2
TCGA-W5-AA33-01,2,2
TCGA-55-7727-01,2,2
TCGA-JY-A6FD-01,2,1.999253709
TCGA-56-8309-01,2,1.999604185
TCGA-2Z-A9JD-01,2,2
TCGA-49-AAR2-01,2,2.000185547
TCGA-25-2391-01,2,1.84031545
TCGA-FD-A3SQ-01,2,2
TCGA-29-1694-01,2,1.773347552
TCGA-SQ-A6I6-01,2,2
TCGA-CZ-5464-01,2,2
TCGA-AB-2912-03,2,2
TCGA-RW-A68G-01,2,2
TCGA-NH-A6GB-01,2,2
TCGA-3B-A9HP-01,2,2
TCGA-DU-6407-01,2,2
TCGA-C8-A8HR-01,2,1.996357694
TCGA-BP-4962-01,2,2
TCGA-AP-A0LO-01,2,2
TCGA-XM-A8RB-01,2,1.999572012
TCGA-06-0216-01,2,1.998298615
TCGA-VP-A87E-01,2,2
TCGA-EA-A5FO-01,2,2
TCGA-Y8-A8RY-01,2,2
TCGA-69-7764-01,2,1.979337285
TCGA-FV-A2QR-01,2,2
TCGA-A6-5659-01,2,1.943938734
TCGA-E7-A678-01,2,2
TCGA-E2-A1LB-01,2,2
TCGA-MT-A67D-01,2,1.74706269
TCGA-13-0905-01,2,1.91696214
TCGA-DJ-A13M-01,2,2
TCGA-CN-A49B-01,2,2
TCGA-3M-AB47-01,2,2
TCGA-FS-A4F9-01,2,1.999027283
TCGA-LD-A66U-01,2,2
TCGA-85-8353-01,2,1.84719062
TCGA-A8-A06P-01,2,2
TCGA-DK-A3WW-01,2,2
TCGA-UT-A88E-01,2,1.953046975
TCGA-B0-4852-01,2,2
TCGA-G9-7519-01,2,2
TCGA-CJ-4884-01,2,2
TCGA-V4-A9ES-01,2,2
TCGA-OL-A5RU-01,2,2
TCGA-08-0354-01,2,2
TCGA-DX-A3LU-01,2,2
TCGA-DZ-6134-01,2,2
TCGA-P7-A5NY-01,2,2
TCGA-D5-5541-01,2,2
TCGA-LG-A9QC-01,2,2
TCGA-EE-A29N-01,2,2
TCGA-G6-A5PC-01,2,1.964613813
TCGA-AX-A2IN-01,2,2
TCGA-HT-7690-01,2,2
TCGA-VS-A9UI-01,2,2.069938236
TCGA-06-0119-01,2,2
TCGA-E2-A573-01,2,2.188424873
TCGA-DD-AAW2-01,2,2
TCGA-FF-8043-01,2,2
TCGA-BP-4989-01,2,2
TCGA-BK-A6W3-01,2,2
TCGA-06-0402-01,2,2
TCGA-12-0688-01,2,2
TCGA-DU-7301-01,2,2
TCGA-B8-A7U6-01,2,2
TCGA-BQ-5887-01,2,2
TCGA-D8-A1JB-01,2,1.812711148
TCGA-EB-A299-01,2,2
TCGA-BQ-5884-01,2,2
TCGA-EE-A29N-06,2,2
TCGA-SL-A6JA-01,2,2
TCGA-D9-A4Z3-01,2,2.000107647
TCGA-26-6174-01,2,2
TCGA-IQ-A61I-01,2,2
TCGA-D1-A160-01,2,2
TCGA-A2-A3XY-01,2,2.009170734
TCGA-AJ-A3BK-01,2,2
TCGA-PR-A5PF-01,2,2
TCGA-CD-5804-01,2,2.130050034
TCGA-36-2540-01,2,2
TCGA-AA-A00K-01,2,2
TCGA-AB-2844-03,2,2
TCGA-77-7138-01,2,2.270254446
TCGA-BP-5195-01,2,2
TCGA-C5-A1BM-01,2,2
TCGA-E8-A242-01,2,2
TCGA-D1-A177-01,2,2
TCGA-WB-A819-01,2,2
TCGA-19-1385-01,2,2
TCGA-DU-8162-01,2,2
TCGA-A1-A0SG-01,2,2
TCGA-DK-A3IV-01,2,2
TCGA-BB-4217-01,2,2
TCGA-LN-A49X-01,2,2.231256992
TCGA-KL-8346-01,2,1.999612426
TCGA-CU-A0YO-01,2,2
TCGA-AB-2860-03,2,2.00072188
TCGA-DX-AB2P-01,2,1.762757002
TCGA-ZB-A96C-01,2,2
TCGA-2Z-A9JS-01,2,2
TCGA-NJ-A4YG-01,2,2
TCGA-IN-A6RI-01,2,1.750722174
TCGA-YL-A8SI-01,2,2
TCGA-A5-A1OK-01,2,2
TCGA-EJ-8470-01,2,1.970367667
TCGA-60-2715-01,2,2
TCGA-E8-A419-01,2,2
TCGA-DD-A116-01,2,2
TCGA-A2-A0SU-01,2,2
TCGA-VQ-A91V-01,2,1.901309197
TCGA-33-AASI-01,2,1.782593817
TCGA-L4-A4E5-01,2,1.619333734
TCGA-EM-A3AR-01,2,2
TCGA-AF-2693-01,2,1.97627468
TCGA-02-0015-01,2,2
TCGA-95-7947-01,2,2
TCGA-A2-A25E-01,2,1.961930643
TCGA-HC-8216-01,2,1.760402859
TCGA-12-1091-01,2,1.995438326
TCGA-KK-A6E0-01,2,1.975460076
TCGA-CN-6017-01,2,2
TCGA-A6-6140-01,2,2
TCGA-FS-A1ZZ-01,2,2
TCGA-A7-A13G-01,2,2
TCGA-DJ-A2PP-01,2,2
TCGA-BR-A4IY-01,2,2
TCGA-FB-AAQ0-01,2,1.996983624
TCGA-HZ-A49I-01,2,1.992967517
TCGA-A5-A0R9-01,2,2
TCGA-DX-A48R-01,2,1.96483017
TCGA-DJ-A4V0-01,2,2
TCGA-43-8115-01,2,2
TCGA-32-2615-01,2,2
TCGA-G3-AAV0-01,2,2
TCGA-IN-7806-01,2,1.981054026
TCGA-BR-8588-01,2,2
TCGA-BJ-A0Z2-01,2,2
TCGA-C5-A1BI-01,2,2
TCGA-EE-A2GU-01,2,1.999229181
TCGA-KM-8476-01,2,2
TCGA-EE-A2MN-01,2,2
TCGA-53-7626-01,2,1.901301279
TCGA-06-0168-01,2,2
TCGA-2Y-A9H0-01,2,2.007081927
TCGA-13-1819-01,2,1.85888275
TCGA-B0-5096-01,2,2
TCGA-CV-7104-01,2,1.996031506
TCGA-B9-5155-01,2,2
TCGA-BH-A5IZ-01,2,1.684957795
TCGA-22-1005-01,2,2
TCGA-99-7458-01,2,1.970072492
TCGA-DI-A1BY-01,2,2
TCGA-AC-A6IV-01,2,2
TCGA-F1-A448-01,2,1.956032771
TCGA-A2-A259-01,2,2
TCGA-06-0211-01,2,2
TCGA-67-3774-01,2,2
TCGA-D1-A2G7-01,2,2.003445747
TCGA-B0-4824-01,2,2
TCGA-85-7697-01,2,2
TCGA-CH-5752-01,2,1.996439381
TCGA-QQ-A8VG-01,2,2
TCGA-86-7711-01,2,1.723475026
TCGA-14-1455-01,2,2
TCGA-CV-A45Y-01,2,2
TCGA-BP-5187-01,2,2
TCGA-AP-A1E0-01,2,2
TCGA-FP-8211-01,2,1.793353576
TCGA-G4-6302-01,2,2
TCGA-55-8505-01,2,1.999447938
TCGA-AB-2934-03,2,2
TCGA-G9-6338-01,2,1.999130991
TCGA-A6-2684-01,2,2
TCGA-06-0173-01,2,2
TCGA-DU-A6S3-01,2,2
TCGA-EO-A3AV-01,2,2
TCGA-BP-5189-01,2,2
TCGA-27-1832-01,2,1.992888377
TCGA-D8-A1JA-01,2,1.999799065
TCGA-80-5607-01,2,2
TCGA-XJ-A9DQ-01,2,2
TCGA-DU-6400-01,2,2
TCGA-AJ-A3I9-01,2,2.003694699
TCGA-EM-A22L-01,2,2
TCGA-GL-A9DE-01,2,2
TCGA-AG-3732-01,2,1.919723684
TCGA-D5-6530-01,2,2
TCGA-DX-AB2V-01,2,2
TCGA-SX-A7SS-01,2,2
TCGA-R8-A6YH-01,2,2
TCGA-FI-A2D0-01,2,2
TCGA-28-1755-01,2,2
TCGA-B5-A5OE-01,2,1.991646338
TCGA-S9-A6WN-01,2,2
TCGA-60-2716-01,2,2
TCGA-EC-A24G-01,2,2
TCGA-LK-A4NW-01,2,2
TCGA-UZ-A9PZ-01,2,2
TCGA-HT-8109-01,2,2
TCGA-EA-A3HR-01,2,2
TCGA-EE-A3AC-06,2,2
TCGA-IA-A40X-01,2,2
TCGA-29-2436-01,2,2.004064719
TCGA-08-0516-01,2,2
TCGA-MK-A84Z-01,2,2
TCGA-3B-A9HV-01,2,1.977990969
TCGA-EK-A2RB-01,2,2
TCGA-27-2521-01,2,2
TCGA-23-1113-01,2,1.995263208
TCGA-EE-A2MQ-06,2,2
TCGA-DA-A3F2-06,2,2
TCGA-RY-A83Z-01,2,1.994482971
TCGA-CF-A27C-01,2,2
TCGA-32-1976-01,2,2
TCGA-EY-A548-01,2,2
TCGA-B0-5706-01,2,2
TCGA-AD-6901-01,2,2.232952867
TCGA-HZ-8636-01,2,1.718059021
TCGA-DX-A6B7-01,2,2
